"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"NT"	"pr. B2b (iii,iv)"									"Déterminante"
"Criquet des Genévriers  ( Euthystira brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65496	"Euthystira brachyptera"	"Euthystira brachyptera (Ocskay, 1826)"	"Criquet des Genévriers"			"NT"	"pr. B2ab(iii)"									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC"	""									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Phanéroptère liliacé  ( Tylopsis lilifolia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65618	"Tylopsis lilifolia"	"Tylopsis lilifolia (Fabricius, 1793)"	"Phanéroptère liliacé,  Phi.lnéroptère feuille-de-lys,  Sauterelle feuille-de-lys"													"Déterminante"
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"													"Déterminante"
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Barbitiste ventru  ( Polysarcus denticauda )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65641	"Polysarcus denticauda"	"Polysarcus denticauda (Charpentier, 1825)"	"Barbitiste ventru,  Barbitiste queue-dentée"			"CR"	"B(1+2)ab(iii)"									"Déterminante"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique verrucivore  ( Decticus verrucivorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65687	"Decticus verrucivorus"	"Decticus verrucivorus (Linnaeus, 1758)"	"Dectique verrucivore, Sauterelle à sabre, Sauterelle rondue, Dectique commun, Dectique"			"NT"	"pr. B2b(iii)"									"Déterminante"
"Decticelle grisâtre  ( Platycleis albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65697	"Platycleis albopunctata"	"Platycleis albopunctata (Goeze, 1778)"	"Decticelle grisâtre, Dectique gris"			"LC"	""									"Déterminante"
