"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"LC"	""									
"Criquet des Genévriers  ( Euthystira brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65496	"Euthystira brachyptera"	"Euthystira brachyptera (Ocskay, 1826)"	"Criquet des Genévriers"			"VU"	"B2ab(iii)"									"Continentale – Massif central : Déterminante"
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC"	""									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Phanéroptère liliacé  ( Tylopsis lilifolia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65618	"Tylopsis lilifolia"	"Tylopsis lilifolia (Fabricius, 1793)"	"Phanéroptère liliacé,  Phi.lnéroptère feuille-de-lys,  Sauterelle feuille-de-lys"													"Continentale – Massif central : Déterminante"
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"			"LC"	""									"Continentale – Massif central : Déterminante"
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Barbitiste ventru  ( Polysarcus denticauda )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65641	"Polysarcus denticauda"	"Polysarcus denticauda (Charpentier, 1825)"	"Barbitiste ventru,  Barbitiste queue-dentée"			"LC"	""									"Continentale – Massif central : Déterminante"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique à front blanc  ( Decticus albifrons )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65688	"Decticus albifrons"	"Decticus albifrons (Fabricius, 1775)"	"Dectique à front blanc, Sauterelle à front blanc"			"NT"	"B2a + D (+2)"									"Continentale – Massif central : Déterminante"
