"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Caloptéryx hémorroïdal  ( Calopteryx haemorrhoidalis )"	"Arthropoda"	"Insecta"	"Odonata"	"Calopterygidae"	65076	"Calopteryx haemorrhoidalis"	"Calopteryx haemorrhoidalis (Vander Linden, 1825)"	"Caloptéryx hémorroïdal"	"LC"	""											
"Caloptéryx vierge  ( Calopteryx virgo )"	"Arthropoda"	"Insecta"	"Odonata"	"Calopterygidae"	65080	"Calopteryx virgo"	"Calopteryx virgo (Linnaeus, 1758)"	"Caloptéryx vierge"	"LC"	""	"LC"	""									
"Caloptéryx occitan  ( Calopteryx xanthostoma )"	"Arthropoda"	"Insecta"	"Odonata"	"Calopterygidae"	65095	"Calopteryx xanthostoma"	"Calopteryx xanthostoma (Charpentier, 1825)"	"Caloptéryx occitan"	"LC"	""											
"Petite nymphe au corps de feu  ( Pyrrhosoma nymphula )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65101	"Pyrrhosoma nymphula"	"Pyrrhosoma nymphula (Sulzer, 1776)"	"Petite nymphe au corps de feu (La)"	"LC"	""	"LC"	""									
"Agrion élégant  ( Ischnura elegans )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65109	"Ischnura elegans"	"Ischnura elegans (Vander Linden, 1820)"	"Agrion élégant"	"LC"	""	"LC"	""									
"Agrion de Gené  ( Ischnura genei )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65113	"Ischnura genei"	"Ischnura genei (Rambur, 1842)"	"Agrion de Gené"	"LC"	""											
"Agrion nain  ( Ischnura pumilio )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65115	"Ischnura pumilio"	"Ischnura pumilio (Charpentier, 1825)"	"Agrion nain (L')"	"LC"	""	"LC"	""									
"Agrion de Graells  ( Ischnura graellsii )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65121	"Ischnura graellsii"	"Ischnura graellsii (Rambur, 1842)"	"Agrion de Graells (L')"	"VU"	"D2"											
"Agrion mignon  ( Coenagrion scitulum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65131	"Coenagrion scitulum"	"Coenagrion scitulum (Rambur, 1842)"	"Agrion mignon (L')"	"LC"	""	"LC"	""									
"*  Agrion de Mercure  ( Coenagrion mercuriale )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65133	"Coenagrion mercuriale"	"Coenagrion mercuriale (Charpentier, 1840)"	"Agrion de Mercure"	"LC"	""	"NT"	"pr. B2b(iii)"	"CDH2"	""	"NI3"	""					
"Agrion bleuissant  ( Coenagrion caerulescens )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65136	"Coenagrion caerulescens"	"Coenagrion caerulescens (Boyer de Fonscolombe, 1838)"	"Agrion bleuissant"	"EN"	"B2ab(iii)"											
"Agrion orné  ( Coenagrion ornatum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65139	"Coenagrion ornatum"	"Coenagrion ornatum (Selys, 1850)"	"Agrion orné"	"NT"	"pr. B2b(iii)"			"CDH2"	""							
"Agrion jouvencelle  ( Coenagrion puella )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65141	"Coenagrion puella"	"Coenagrion puella (Linnaeus, 1758)"	"Agrion jouvencelle"	"LC"	""	"LC"	""									
"Agrion joli  ( Coenagrion pulchellum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65145	"Coenagrion pulchellum"	"Coenagrion pulchellum (Vander Linden, 1825)"	"Agrion joli"	"VU"	"A2c"	"EN"	"B2ab(ii, iii)"									
"Agrion à lunules  ( Coenagrion lunulatum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65147	"Coenagrion lunulatum"	"Coenagrion lunulatum (Charpentier, 1840)"	"Agrion à lunules"	"VU"	"A2c+4c"											
"Agrion à fer de lance  ( Coenagrion hastulatum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65151	"Coenagrion hastulatum"	"Coenagrion hastulatum (Charpentier, 1825)"	"Agrion à fer de lance, Agrion hasté (L')"	"VU"	"A2c"											
"Agrion porte-coupe  ( Enallagma cyathigerum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65155	"Enallagma cyathigerum"	"Enallagma cyathigerum (Charpentier, 1840)"	"Agrion porte-coupe"	"LC"	""	"LC"	""									
"Naïade aux yeux rouges  ( Erythromma najas )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65161	"Erythromma najas"	"Erythromma najas (Hansemann, 1823)"	"Naïade aux yeux rouges (La)"	"LC"	""	"NT"	"pr. B2b(iii)"									
"Naïade au corps vert  ( Erythromma viridulum )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65165	"Erythromma viridulum"	"Erythromma viridulum (Charpentier, 1840)"	"Naïade au corps vert (La)"	"LC"	""	"LC"	""									
"Déesse précieuse  ( Nehalennia speciosa )"	"Arthropoda"	"Insecta"	"Odonata"	"Coenagrionidae"	65174	"Nehalennia speciosa"	"Nehalennia speciosa (Charpentier, 1840)"	"Déesse précieuse"	"CR"	"B2ab(iii)"											
"Agrion orangé  ( Platycnemis acutipennis )"	"Arthropoda"	"Insecta"	"Odonata"	"Platycnemididae"	65179	"Platycnemis acutipennis"	"Platycnemis acutipennis Selys, 1841"	"Agrion orangé"	"LC"	""	"DD"	""									
"Agrion blanchâtre  ( Platycnemis latipes )"	"Arthropoda"	"Insecta"	"Odonata"	"Platycnemididae"	65182	"Platycnemis latipes"	"Platycnemis latipes Rambur, 1842"	"Agrion blanchâtre"	"LC"	""											
"Agrion à larges pattes  ( Platycnemis pennipes )"	"Arthropoda"	"Insecta"	"Odonata"	"Platycnemididae"	65184	"Platycnemis pennipes"	"Platycnemis pennipes (Pallas, 1771)"	"Agrion à larges pattes, Pennipatte bleuâtre"	"LC"	""	"LC"	""									
"Leste brun  ( Sympecma fusca )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65192	"Sympecma fusca"	"Sympecma fusca (Vander Linden, 1820)"	"Leste brun"	"LC"	""	"LC"	""									
"Leste sauvage  ( Lestes barbarus )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65199	"Lestes barbarus"	"Lestes barbarus (Fabricius, 1798)"	"Leste sauvage"	"LC"	""	"LC"	""									
"Leste verdoyant  ( Lestes virens )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65202	"Lestes virens"	"Lestes virens (Charpentier, 1825)"	"Leste verdoyant"	"LC"	""	"LC"	""									
"Leste à grands ptérostigmas  ( Lestes macrostigma )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65205	"Lestes macrostigma"	"Lestes macrostigma (Eversmann, 1836)"	"Leste à grands ptérostigmas, Leste à grands stigmas"	"EN"	"B2b(iii)c(iii,iv)"											
"Leste fiancé  ( Lestes sponsa )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65208	"Lestes sponsa"	"Lestes sponsa (Hansemann, 1823)"	"Leste fiancé"	"NT"	"pr. A2c"	"NT"	"pr. B2b(iii)"									
"Leste des bois  ( Lestes dryas )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65214	"Lestes dryas"	"Lestes dryas Kirby, 1890"	"Leste des bois, Leste dryade"	"LC"	""	"VU"	"B2ab(iii)"									
"Leste vert  ( Chalcolestes viridis )"	"Arthropoda"	"Insecta"	"Odonata"	"Lestidae"	65219	"Chalcolestes viridis"	"Chalcolestes viridis (Vander Linden, 1825)"	"Leste vert"	"LC"	""	"LC"	""									
"Gomphe vulgaire  ( Gomphus vulgatissimus )"	"Arthropoda"	"Insecta"	"Odonata"	"Gomphidae"	65225	"Gomphus vulgatissimus"	"Gomphus vulgatissimus (Linnaeus, 1758)"	"Gomphe vulgaire (Le)"	"LC"	""	"LC"	""									
"Gomphe joli  ( Gomphus pulchellus )"	"Arthropoda"	"Insecta"	"Odonata"	"Gomphidae"	65227	"Gomphus pulchellus"	"Gomphus pulchellus Selys, 1840"	"Gomphe joli (Le)"	"LC"	""	"LC"	""									
"*  Gomphe de Graslin  ( Gomphus graslinii )"	"Arthropoda"	"Insecta"	"Odonata"	"Gomphidae"	65231	"Gomphus graslinii"	"Gomphus graslinii Rambur, 1842"	"Gomphe de Graslin (Le), Gomphe à cercoïdes fourchus (Le)"	"LC"	""			"CDH4, CDH2"	" "	"NI2"	""					
"*  Gomphe à pattes jaunes  ( Stylurus flavipes )"	"Arthropoda"	"Insecta"	"Odonata"	"Gomphidae"	65234	"Stylurus flavipes"	"Stylurus flavipes (Charpentier, 1825)"	"Gomphe à pattes jaunes (Le)"	"LC"	""			"CDH4"	""	"NI2"	""					
