"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"LC"	""									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC"	""									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Phanéroptère liliacé  ( Tylopsis lilifolia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65618	"Tylopsis lilifolia"	"Tylopsis lilifolia (Fabricius, 1793)"	"Phanéroptère liliacé,  Phi.lnéroptère feuille-de-lys,  Sauterelle feuille-de-lys"			"NA"	""									
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Ephippigère carénée  ( Uromenus rugosicollis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65677	"Uromenus rugosicollis"	"Uromenus rugosicollis (Audinet Serville, 1838)"	"Ephippigère carénée"			"NA"	""									
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique verrucivore  ( Decticus verrucivorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65687	"Decticus verrucivorus"	"Decticus verrucivorus (Linnaeus, 1758)"	"Dectique verrucivore, Sauterelle à sabre, Sauterelle rondue, Dectique commun, Dectique"			"RE"	""									
"Decticelle grisâtre  ( Platycleis albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65697	"Platycleis albopunctata"	"Platycleis albopunctata (Goeze, 1778)"	"Decticelle grisâtre, Dectique gris"			"LC"	""									
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"			"NT"	"pr. B2b(iii)"									
"Decticelle des alpages  ( Metrioptera saussuriana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65719	"Metrioptera saussuriana"	"Metrioptera saussuriana (Frey-Gessner, 1872)"	"Decticelle des alpages"			"NT"	"pr. B2a"									
"Decticelle cendrée  ( Pholidoptera griseoaptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65740	"Pholidoptera griseoaptera"	"Pholidoptera griseoaptera (De Geer, 1773)"	"Decticelle cendrée, Ptérolèpe aptère"			"LC"	""									
"Grande Sauterelle verte  ( Tettigonia viridissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65774	"Tettigonia viridissima"	"Tettigonia viridissima (Linnaeus, 1758)"	"Grande Sauterelle verte, Sauterelle verte (des prés),  Tettigonie verte, Sauterelle à coutelas"			"LC"	""									
"Conocéphale bigarré  ( Conocephalus fuscus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65877	"Conocephalus fuscus"	"Conocephalus fuscus (Fabricius, 1793)"	"Conocéphale bigarré, Xiphidion Brun"			"LC"	""									
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"			"LC"	""									
"Conocéphale gracieux  ( Ruspolia nitidula )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65882	"Ruspolia nitidula"	"Ruspolia nitidula (Scopoli, 1786)"	"Conocéphale gracieux, Conocéphale mandibulaire"			"LC"	""									
"Méconème tambourinaire  ( Meconema thalassinum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65889	"Meconema thalassinum"	"Meconema thalassinum (De Geer, 1773)"	"Méconème tambourinaire, Méconème varié,  Sauterelle des Chênes"			"LC"	""									
"Méconème fragile  ( Meconema meridionale )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65891	"Meconema meridionale"	"Meconema meridionale A. Costa, 1860"	"Méconème fragile"			"LC"	""									
"Méconème scutigère  ( Cyrtaspis scutata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65894	"Cyrtaspis scutata"	"Cyrtaspis scutata (Charpentier, 1825)"	"Méconème scutigère,  Sauterelle à carapace"			"NA"	""									
"Courtilière commune  ( Gryllotalpa gryllotalpa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65899	"Gryllotalpa gryllotalpa"	"Gryllotalpa gryllotalpa (Linnaeus, 1758)"	"Courtilière commune, Courtilière, Taupe-Grillon, Perce-chaussée, Taupette, Avant-taupe, Ecrevisse de terre, Loup de terre"			"NT"	"pr. B2b(iii)"									
"Grillon champêtre  ( Gryllus campestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65910	"Gryllus campestris"	"Gryllus campestris Linnaeus, 1758"	"Grillon champêtre, Grillon des champs, Gril, Riquet, Cricri,Grésillon, Grillon sauvage, Petit Cheval du Bon Dieu, Grill"			"LC"	""									
"Grillon domestique  ( Acheta domesticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65918	"Acheta domesticus"	"Acheta domesticus (Linnaeus, 1758)"	"Grillon domestique, Grillon du foyer, Cri-cri, Grelet, Grillon des maisons, Grillet, Grillot, Crinchon, Guersillon, Petit Cheval du Bon Dieu"			"NA"	""									
"Grillon des bois  ( Nemobius sylvestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65932	"Nemobius sylvestris"	"Nemobius sylvestris (Bosc, 1792)"	"Grillon des bois, Grillon forestier, Nemobie forestier, Némobie forestière"			"LC"	""									
"Grillon des marais  ( Pteronemobius heydenii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65934	"Pteronemobius heydenii"	"Pteronemobius heydenii (Fischer, 1853)"	"Grillon des marais"			"EN"	"B2ab(iii)"									
"Grillon d'Italie  ( Oecanthus pellucens )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65944	"Oecanthus pellucens"	"Oecanthus pellucens (Scopoli, 1763)"	"Grillon d'Italie, Oecanthe transparent, Grillon transparent, Vairët"			"LC"	""									
"Grillon manchois  ( Pseudomogoplistes vicentae septentrionalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Mogoplistidae"	65963	"Pseudomogoplistes vicentae septentrionalis"	"Pseudomogoplistes vicentae septentrionalis Morère & Livory, 1999"	"Grillon manchois"			"EN"	"B2ab(iii)"									
"Tétrix caucasien  ( Tetrix bolivari )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66029	"Tetrix bolivari"	"Tetrix bolivari Saulcy in Azam, 1901"	"Tétrix caucasien, Tétrix des rizières"			"DD"	""									
