"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"													"Déterminante"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"													"Déterminante"
"Dectique des brandes  ( Gampsocleis glabra )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65771	"Gampsocleis glabra"	"Gampsocleis glabra (Herbst, 1786)"	"Dectique des brandes"													"Déterminante"
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"													"Déterminante"
"Grillon des marais  ( Pteronemobius heydenii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65934	"Pteronemobius heydenii"	"Pteronemobius heydenii (Fischer, 1853)"	"Grillon des marais"													"Déterminante"
"Grillon des torrents  ( Pteronemobius lineolatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65935	"Pteronemobius lineolatus"	"Pteronemobius lineolatus (Brullé, 1835)"	"Grillon des torrents"													"Déterminante"
"Tétrix calcicole  ( Tetrix bipunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66028	"Tetrix bipunctata"	"Tetrix bipunctata (Linnaeus, 1758)"	"Tétrix calcicole,  Criquet à capuchon, Tétrix biponctuée, Tétrix des sables"													"Déterminante"
"*  Criquet rhodanien  ( Prionotropis rhodanica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Pamphagidae"	66052	"Prionotropis rhodanica"	"Prionotropis rhodanica Uvarov, 1923"	"Criquet rhodanien, Miramelle des moraines, Criquet marcheur, Criquet pédestre"							"NI3"	""					
"Criquet rouge-queue  ( Omocestus haemorrhoidalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66085	"Omocestus haemorrhoidalis"	"Omocestus haemorrhoidalis (Charpentier, 1825)"	"Criquet rouge-queue"													"Déterminante"
"Criquet des friches  ( Omocestus petraeus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66086	"Omocestus petraeus"	"Omocestus petraeus (Brisout de Barneville, 1856)"	"Criquet des friches"													"Déterminante"
"Criquet verdelet  ( Omocestus viridulus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66090	"Omocestus viridulus"	"Omocestus viridulus (Linnaeus, 1758)"	"Criquet verdelet, Criquet smaragdin"													"Déterminante"
"Sténobothre bourdonneur  ( Stenobothrus nigromaculatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66102	"Stenobothrus nigromaculatus"	"Stenobothrus nigromaculatus (Herrich-Schäffer, 1840)"	"Sténobothre bourdonneur, Criquet bourdonneur"													"Déterminante"
"Sténobothre nain  ( Stenobothrus stigmaticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66103	"Stenobothrus stigmaticus"	"Stenobothrus stigmaticus (Rambur, 1838)"	"Sténobothre nain"													"Déterminante"
"Oedipode soufrée  ( Oedaleus decorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66187	"Oedaleus decorus"	"Oedaleus decorus (Germar, 1825)"	"Oedipode soufrée"													"Déterminante"
"OEdipode rouge  ( Oedipoda germanica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66196	"Oedipoda germanica"	"Oedipoda germanica (Latreille, 1804)"	"OEdipode rouge, Criquet à ailes rouges,  Criquet rubané, Criquet rouge, Oedipode germanique"													"Déterminante"
"Criquet pansu  ( Pezotettix giornae )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	199958	"Pezotettix giornae"	"Pezotettix giornae (Rossi, 1794)"	"Criquet pansu"													"Déterminante"
"Criquet des Roseaux  ( Mecostethus parapleurus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	240286	"Mecostethus parapleurus"	"Mecostethus parapleurus (Hagenbach, 1822)"	"Criquet des Roseaux, Parapleure alliacé"													"Déterminante"
"*  Criquet hérisson  ( Prionotropis azami )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Pamphagidae"	814441	"Prionotropis azami"	"Prionotropis azami Uvarov, 1923"	"Criquet hérisson, Criquet des Grands-Plans"							"NI3"	""					
"Criquet palustre  ( Chorthippus montanus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	837913	"Chorthippus montanus"	"Pseudochorthippus montanus (Charpentier, 1825)"	"Criquet palustre"													"Déterminante"
