"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"LC"	"B2ab(iii) [VU (-2)]"									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC"	""									
"Phanéroptère méridional  ( Phaneroptera nana nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"			"DD"	""									
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Ephippigère carénée  ( Uromenus rugosicollis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65677	"Uromenus rugosicollis"	"Uromenus rugosicollis (Audinet Serville, 1838)"	"Ephippigère carénée"			"DD"	""									
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Decticelle chagrinée  ( Platycleis albopunctata albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65699	"Platycleis albopunctata albopunctata"	"Platycleis albopunctata albopunctata (Goeze, 1778)"	"Decticelle chagrinée"			"LC"	""									
"Decticelle cendrée  ( Pholidoptera griseoaptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65740	"Pholidoptera griseoaptera"	"Pholidoptera griseoaptera (De Geer, 1773)"	"Decticelle cendrée, Ptérolèpe aptère"			"LC"	""									
"Dectique des brandes  ( Gampsocleis glabra )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65771	"Gampsocleis glabra"	"Gampsocleis glabra (Herbst, 1786)"	"Dectique des brandes"			"CR"	"B2ab(iv)"									
