"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Euprocte de Corse  ( Euproctus montanus )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	59	"Euproctus montanus"	"Euproctus montanus (Savi, 1838)"	"Euprocte de Corse (L')"	"LC"	""			"CDH4"	""	"FRAR2"	""					
"*  Salamandre noire  ( Salamandra atra atra )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	86	"Salamandra atra atra"	"Salamandra atra atra (Laurenti, 1768)"	"Salamandre noire (La)"					"CDH4"	""	"FRAR2"	""					
"*  Salamandre tachetée  ( Salamandra salamandra )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	92	"Salamandra salamandra"	"Salamandra salamandra (Linnaeus, 1758)"	"Salamandre tachetée (La)"	"LC"	""					"FRAR3"	""					"Déterminante"
"*  -  ( Salamandra salamandra salamandra )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	100	"Salamandra salamandra salamandra"	"Salamandra salamandra salamandra (Linnaeus, 1758)"	""							"FRAR3"	""					
"*  Triton crêté  ( Triturus cristatus )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	139	"Triturus cristatus"	"Triturus cristatus (Laurenti, 1768)"	"Triton crêté (Le)"	"NT"	"pr. A4ac"			"CDH4, CDH2"	" "	"FRAR2"	""					"Déterminante"
"*  Triton de Blasius  ( Triturus cristatus x T. marmoratus )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	150	"Triturus cristatus x T. marmoratus"	"Triturus cristatus x T. marmoratus"	"Triton de Blasius (Le)"							"FRAR3"	""					
"*  Triton marbré  ( Triturus marmoratus )"	"Chordata"	"Amphibia"	"Urodela"	"Salamandridae"	163	"Triturus marmoratus"	"Triturus marmoratus (Latreille, 1800)"	"Triton marbré (Le)"	"NT"	"pr. A4ac"			"CDH4"	""	"FRAR2"	""					
"*  Alyte accoucheur  ( Alytes obstetricans )"	"Chordata"	"Amphibia"	"Anura"	"Alytidae"	197	"Alytes obstetricans"	"Alytes obstetricans (Laurenti, 1768)"	"Alyte accoucheur (L'), Crapaud accoucheur"	"LC"	""			"CDH4"	""	"FRAR2"	""					"Déterminante"
"*  Alyte accoucheur  ( Alytes obstetricans obstetricans )"	"Chordata"	"Amphibia"	"Anura"	"Alytidae"	202	"Alytes obstetricans obstetricans"	"Alytes obstetricans obstetricans (Laurenti, 1768)"	"Alyte accoucheur (L')"					"CDH4"	""	"FRAR2"	""					
"Sonneur à ventre de feu  ( Bombina bombina )"	"Chordata"	"Amphibia"	"Anura"	"Bombinatoridae"	206	"Bombina bombina"	"Bombina bombina (Linnaeus, 1761)"	"Sonneur à ventre de feu (Le)"	"NA"	"a"			"CDH4, CDH2"	" "							
"*  Sonneur à ventre jaune  ( Bombina variegata )"	"Chordata"	"Amphibia"	"Anura"	"Bombinatoridae"	212	"Bombina variegata"	"Bombina variegata (Linnaeus, 1758)"	"Sonneur à ventre jaune (Le)"	"VU"	"A4ac"			"CDH4, CDH2"	" "	"FRAR2"	""					"Déterminante"
"*  Sonneur à ventre jaune  ( Bombina variegata variegata )"	"Chordata"	"Amphibia"	"Anura"	"Bombinatoridae"	215	"Bombina variegata variegata"	"Bombina variegata variegata (Linnaeus, 1758)"	"Sonneur à ventre jaune (Le)"					"CDH4, CDH2"	" "	"FRAR2"	""					
"*  Discoglosse Corse  ( Discoglossus montalentii )"	"Chordata"	"Amphibia"	"Anura"	"Discoglossidae"	223	"Discoglossus montalentii"	"Discoglossus montalentii Lanza, Nascetti, Capula & Bullini, 1984"	"Discoglosse Corse (Le)"	"NT"	"pr. B(1+2)a"			"CDH2, CDH4"	" "	"FRAR2"	""					
"Discoglosse peint  ( Discoglossus pictus )"	"Chordata"	"Amphibia"	"Anura"	"Discoglossidae"	225	"Discoglossus pictus"	"Discoglossus pictus Otth, 1837"	"Discoglosse peint (Le)"	"NA"	"a"			"CDH4"	""							
"*  Discoglosse sarde  ( Discoglossus sardus )"	"Chordata"	"Amphibia"	"Anura"	"Discoglossidae"	229	"Discoglossus sardus"	"Discoglossus sardus Tschudi in Otth, 1837"	"Discoglosse sarde (Le)"	"LC"	""			"CDH2, CDH4"	" "	"FRAR2"	""					
"*  Pélobate cultripède  ( Pelobates cultripes )"	"Chordata"	"Amphibia"	"Anura"	"Pelobatidae"	235	"Pelobates cultripes"	"Pelobates cultripes (Cuvier, 1829)"	"Pélobate cultripède (Le)"	"VU"	"B2ab(ii,iii,iv,v)"			"CDH4"	""	"FRAR2"	""					
"*  Pélobate brun  ( Pelobates fuscus )"	"Chordata"	"Amphibia"	"Anura"	"Pelobatidae"	240	"Pelobates fuscus"	"Pelobates fuscus (Laurenti, 1768)"	"Pélobate brun (Le)"	"EN"	"B2ab(i,ii,iii,iv,v)"			"CDH4"	""	"FRAR2"	""					"Déterminante"
"*  Pélodyte ponctué  ( Pelodytes punctatus )"	"Chordata"	"Amphibia"	"Anura"	"Pelodytidae"	252	"Pelodytes punctatus"	"Pelodytes punctatus (Daudin, 1803)"	"Pélodyte ponctué (Le)"	"LC"	""					"FRAR2"	""					"Déterminante"
"*  Crapaud commun  ( Bufo bufo )"	"Chordata"	"Amphibia"	"Anura"	"Bufonidae"	259	"Bufo bufo"	"Bufo bufo (Linnaeus, 1758)"	"Crapaud commun (Le)"	"LC"	""					"FRAR3"	""					
