"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"													"Déterminante"
"Criquet des Genévriers  ( Euthystira brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65496	"Euthystira brachyptera"	"Euthystira brachyptera (Ocskay, 1826)"	"Criquet des Genévriers"													"Déterminante"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique verrucivore  ( Decticus verrucivorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65687	"Decticus verrucivorus"	"Decticus verrucivorus (Linnaeus, 1758)"	"Dectique verrucivore, Sauterelle à sabre, Sauterelle rondue, Dectique commun, Dectique"													"Déterminante"
"Decticelle grisâtre  ( Platycleis albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65697	"Platycleis albopunctata"	"Platycleis albopunctata (Goeze, 1778)"	"Decticelle grisâtre, Dectique gris"													"Déterminante"
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"													"Déterminante"
"Sauterelle cymbalière  ( Tettigonia cantans )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65869	"Tettigonia cantans"	"Tettigonia cantans (Fuessly, 1775)"	"Sauterelle cymbalière, Sauterelle chanteuse"													"Déterminante"
"Conocéphale bigarré  ( Conocephalus discolor )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65877	"Conocephalus discolor"	"Conocephalus fuscus (Fabricius, 1793)"	"Conocéphale bigarré, Xiphidion Brun"													"Déterminante"
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"													"Déterminante"
"Conocéphale gracieux  ( Ruspolia nitidula )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65882	"Ruspolia nitidula"	"Ruspolia nitidula (Scopoli, 1786)"	"Conocéphale gracieux, Conocéphale mandibulaire"													"Déterminante"
"Méconème fragile  ( Meconema meridionale )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65891	"Meconema meridionale"	"Meconema meridionale A. Costa, 1860"	"Méconème fragile"													"Déterminante"
"Courtilière commune  ( Gryllotalpa gryllotalpa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65899	"Gryllotalpa gryllotalpa"	"Gryllotalpa gryllotalpa (Linnaeus, 1758)"	"Courtilière commune, Courtilière, Taupe-Grillon, Perce-chaussée, Taupette, Avant-taupe, Ecrevisse de terre, Loup de terre"													"Déterminante"
"Grillon d'Italie  ( Oecanthus pellucens )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65944	"Oecanthus pellucens"	"Oecanthus pellucens (Scopoli, 1763)"	"Grillon d'Italie, Oecanthe transparent, Grillon transparent, Vairët"													"Déterminante"
"Tétrix calcicole  ( Tetrix bipunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66028	"Tetrix bipunctata"	"Tetrix bipunctata (Linnaeus, 1758)"	"Tétrix calcicole,  Criquet à capuchon, Tétrix biponctuée, Tétrix des sables"													"Déterminante"
"Tétrix des vasières  ( Tetrix ceperoi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66030	"Tetrix ceperoi"	"Tetrix ceperoi (Bolívar, 1887)"	"Tétrix des vasières"													"Déterminante"
