"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Diane  ( Zerynthia polyxena )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Papilionidae"	8267	"Zerynthia polyxena"	"Zerynthia polyxena (Denis & Schiffermüller, 1775)"	"Diane (La), Thaïs (La)"	"LC"	""			"CDH4"	""	"NI2"	""					
"*  Proserpine  ( Zerynthia rumina )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Papilionidae"	8268	"Zerynthia rumina"	"Zerynthia rumina (Linnaeus, 1758)"	"Proserpine (La), Thaïs écarlate (La), Proserpine d'Honorat (La)"	"LC"	""					"NI3"	""					
"Hespérie de l’Ormière  ( Pyrgus malvae )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53221	"Pyrgus malvae"	"Pyrgus malvae (Linnaeus, 1758)"	"Hespérie de l’Ormière (L'), Hespérie de la Mauve (L'), Hespérie du Chardon (L'), Tacheté (Le), Plain-Chant (Le), Hespérie Plain-Chant (L')"	"LC"	""											
"Hespérie du Faux-Buis  ( Pyrgus alveus )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53229	"Pyrgus alveus"	"Pyrgus alveus (Hübner, 1803)"	"Hespérie du Faux-Buis, Plain-Chant (Le), Dé-à-jouer (Le), Hespérie frillitaire (L')"	"LC"	""											
"Hespérie des Potentilles  ( Pyrgus armoricanus )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53236	"Pyrgus armoricanus"	"Pyrgus armoricanus (Oberthür, 1910)"	"Hespérie des Potentilles (L'), Armoricain (L')"	"LC"	""	"LC"	""									
"Hespérie des Hélianthèmes  ( Pyrgus bellieri )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53240	"Pyrgus bellieri"	"Pyrgus foulquieri (Oberthür, 1910)"	"Hespérie des Hélianthèmes (L'), Hespérie de Foulquier (L')"	"LC"	""											
"Hespérie de l'Alchémille  ( Pyrgus serratulae )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53242	"Pyrgus serratulae"	"Pyrgus serratulae (Rambur, 1839)"	"Hespérie de l'Alchémille (L'), Hespérie de l'Armoise (L'), Olivâtre (L')"	"LC"	""											
"Hespérie de la Parcinière  ( Pyrgus carlinae )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53246	"Pyrgus carlinae"	"Pyrgus carlinae (Rambur, 1839)"	"Hespérie de la Parcinière (L'), Hespérie de la Carline (L'), Carlin (Le)"	"LC"	""											
"Hespérie des Cirses  ( Pyrgus cirsii )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53248	"Pyrgus cirsii"	"Pyrgus cirsii (Rambur, 1839)"	"Hespérie des Cirses (L'), Hespérie de Rambur (L')"	"NT"	"pr. A2c"											
"Hespérie de la Malope  ( Pyrgus onopordi )"	"Arthropoda"	"Insecta"	"Lepidoptera"	"Hesperiidae"	53251	"Pyrgus onopordi"	"Pyrgus onopordi (Rambur, 1839)"	"Hespérie de la Malope (L'), Vergeté (Le)"	"LC"	""											
