"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Phanéroptère corse  ( Acrometopa servillea italica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65621	"Acrometopa servillea italica"	"Acrometopa italica Ramme, 1927"	"Phanéroptère corse"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"Barbitiste corse  ( Metaplastes pulchripennis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65632	"Metaplastes pulchripennis"	"Metaplastes pulchripennis (Costa, 1863)"	"Barbitiste corse"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					"Déterminante"
"Decticelle des roselières   ( Pholidoptera femorata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65737	"Pholidoptera femorata"	"Pholidoptera femorata (Fieber, 1853)"	"Decticelle des roselières , Decticelle des friches"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"Decticelle d’Evisa  ( Rhacocleis bonfilsi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65757	"Rhacocleis bonfilsi"	"Rhacocleis bonfilsi Galvagni, 1976"	"Decticelle d’Evisa"													"Déterminante"
"Decticelle de Porto-Vecchio  ( Rhacocleis corsicana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65758	"Rhacocleis corsicana"	"Rhacocleis corsicana (Bonfils, 1960)"	"Decticelle de Porto-Vecchio"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"Antaxie corse  ( Antaxius bouvieri )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65764	"Antaxius bouvieri"	"Antaxius bouvieri Chopard, 1923"	"Antaxie corse"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"Conocéphale africain  ( Conocephalus conocephalus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65875	"Conocephalus conocephalus"	"Conocephalus conocephalus (Linnaeus, 1767)"	"Conocéphale africain"													"Déterminante"
"Grillon des marais  ( Pteronemobius heydenii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65934	"Pteronemobius heydenii"	"Pteronemobius heydenii (Fischer, 1853)"	"Grillon des marais"													"Taxon de niveau 2\" : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces moins rares, bio-indicatrices et/ou en limite de répa"
"Grillon des jonchères  ( Trigonidium cicindeloides )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65947	"Trigonidium cicindeloides"	"Trigonidium cicindeloides Rambur, 1838"	"Grillon des jonchères"													"Taxon de niveau 2\" : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces moins rares, bio-indicatrices et/ou en limite de répa"
"Grillon maritime  ( Pseudomogoplistes squamiger )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Mogoplistidae"	65960	"Pseudomogoplistes squamiger"	"Pseudomogoplistes squamiger (Fischer, 1853)"	"Grillon maritime, Grillon littoral"													"Déterminante"
"Dolichopode de Venaco  ( Dolichopoda cyrnensis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Rhaphidophoridae"	65971	"Dolichopoda cyrnensis"	"Dolichopoda cyrnensis Chopard, 1950"	"Dolichopode de Venaco"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"Dolichopode d'Evisa  ( Dolichopoda bormansi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Rhaphidophoridae"	65972	"Dolichopoda bormansi"	"Dolichopoda bormansi Brunner von Wattenwyl, 1882"	"Dolichopode d'Evisa"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"*  Criquet rhodanien  ( Prionotropis rhodanica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Pamphagidae"	66052	"Prionotropis rhodanica"	"Prionotropis rhodanica Uvarov, 1923"	"Criquet rhodanien, Miramelle des moraines, Criquet marcheur, Criquet pédestre"							"NI3"	""					
"Sténobothre corse  ( Chorthippus corsicus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66166	"Chorthippus corsicus"	"Chorthippus corsicus (Chopard, 1924)"	"Sténobothre corse, Criquet de l'Incudine, Criquet du Vergio"													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"Oedipode corse  ( Sphingonotus uvarovi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66205	"Sphingonotus uvarovi"	"Sphingonotus uvarovi Chopard, 1923"	"Oedipode corse, Oedipode de Propriano"													"Déterminante"
"OEdipode gracile  ( Acrotylus patruelis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66210	"Acrotylus patruelis"	"Acrotylus patruelis (Herrich-Schäffer, 1838)"	"OEdipode gracile"													"Taxon de niveau 2\" : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces moins rares, bio-indicatrices et/ou en limite de répa"
"Criquet cylindrique  ( Tropidopola cylindrica cylindrica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66260	"Tropidopola cylindrica cylindrica"	"Tropidopola cylindrica cylindrica (Marschall, 1836)"	"Criquet cylindrique"													"Déterminante"
"Miramelle corse  ( Eyprepocnemis plorans )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66265	"Eyprepocnemis plorans"	"Eyprepocnemis plorans (Charpentier, 1825)"	"Miramelle corse"													"Taxon de niveau 2\" : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces moins rares, bio-indicatrices et/ou en limite de répa"
"Criquet de Palavas  ( Locusta migratoria migratoria )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	535771	"Locusta migratoria migratoria"	"Locusta migratoria migratoria (Linnaeus, 1758)"	"Criquet de Palavas"													"Déterminante"
"Oedipode ibérique  ( Oedipoda coerulea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	535831	"Oedipoda coerulea"	"Oedipoda coerulea Saussure, 1884"	"Oedipode ibérique"													"Taxon de niveau 2\" : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces moins rares, bio-indicatrices et/ou en limite de répa"
"*  Criquet hérisson  ( Prionotropis azami )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Pamphagidae"	814441	"Prionotropis azami"	"Prionotropis azami Uvarov, 1923"	"Criquet hérisson, Criquet des Grands-Plans"							"NI3"	""					
"-  ( Chorthippus pascuorum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	837983	"Chorthippus pascuorum"	"Chorthippus corsicus pascuorum (Chopard, 1924)"	""													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"-  ( Acrotylus braudi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	1027357	"Acrotylus braudi"	"Acrotylus insubricus braudi Defaut, 2005"	""													"Taxon de niveau 2' : espèce déterminante selon critères particuliers. L’assemblage d’un certain nombre d’espèces, ou l’abondance particulière de l’espèce peut justifier le classement en ZNIEFF (espèces rares ou méconnues)"
"-  ( Paracinema tricolor bisignata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	1027364	"Paracinema tricolor bisignata"	"Paracinema tricolor bisignatum (Charpentier, 1825)"	""													"Déterminante"
