"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"LC"	""									
"Criquet des Genévriers  ( Euthystira brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65496	"Euthystira brachyptera"	"Euthystira brachyptera (Ocskay, 1826)"	"Criquet des Genévriers"			"LC"	""									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC"	""									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"			"LC"	""									
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Barbitiste ventru  ( Polysarcus denticauda )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65641	"Polysarcus denticauda"	"Polysarcus denticauda (Charpentier, 1825)"	"Barbitiste ventru,  Barbitiste queue-dentée"			"NT"	"pr.A3c"									"Déterminante"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Decticelle chagrinée  ( Platycleis albopunctata albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65699	"Platycleis albopunctata albopunctata"	"Platycleis albopunctata albopunctata (Goeze, 1778)"	"Decticelle chagrinée"			"LC"	""									
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"			"NT"	"pr.A3c"									"Déterminante"
"Decticelle des alpages  ( Metrioptera saussuriana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65719	"Metrioptera saussuriana"	"Metrioptera saussuriana (Frey-Gessner, 1872)"	"Decticelle des alpages"			"LC"	""									"Déterminante"
"Decticelle cendrée  ( Pholidoptera griseoaptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65740	"Pholidoptera griseoaptera"	"Pholidoptera griseoaptera (De Geer, 1773)"	"Decticelle cendrée, Ptérolèpe aptère"			"LC"	""									
"Grande Sauterelle verte  ( Tettigonia viridissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65774	"Tettigonia viridissima"	"Tettigonia viridissima (Linnaeus, 1758)"	"Grande Sauterelle verte, Sauterelle verte (des prés),  Tettigonie verte, Sauterelle à coutelas"			"LC"	""									
"Sauterelle cymbalière  ( Tettigonia cantans )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65869	"Tettigonia cantans"	"Tettigonia cantans (Fuessly, 1775)"	"Sauterelle cymbalière, Sauterelle chanteuse"			"LC"	""									
"Conocéphale bigarré  ( Conocephalus fuscus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65877	"Conocephalus fuscus"	"Conocephalus fuscus (Fabricius, 1793)"	"Conocéphale bigarré, Xiphidion Brun"			"LC"	""									
