"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Carabe de Solier  ( Carabus solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8470	"Carabus solieri"	"Carabus solieri Dejean, 1826"	"Carabe de Solier"							"NI3"	""					
"*  -  ( Carabus solieri clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8476	"Carabus solieri clairi"	"Carabus solieri clairi Géhin, 1885"	""							"NI3"	""					
"*  -  ( Carabus solieri solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8482	"Carabus solieri solieri"	"Carabus solieri solieri Dejean, 1826"	""							"NI3"	""					
"*  -  ( Aphaenops bucephalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8750	"Aphaenops bucephalus"	"Aphaenops bucephalus (Dieck, 1869)"	""							"NI3"	""					
"*  -  ( Aphaenops jeanneli )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8754	"Aphaenops jeanneli"	"Aphaenops jeanneli (Abeille de Perrin, 1905)"	""							"NI3"	""					
"*  Aphaenops de Leschenault  ( Aphaenops leschenaulti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8755	"Aphaenops leschenaulti"	"Aphaenops leschenaulti Bonvouloir, 1862"	"Aphaenops de Leschenault"							"NI3"	""					
"*  Aphaenops de Loubens  ( Aphaenops loubensi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8756	"Aphaenops loubensi"	"Aphaenops loubensi Jeannel, 1953"	"Aphaenops de Loubens"							"NI3"	""					
"*  Hydraphaenops basque  ( Aphaenops vasconicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8757	"Aphaenops vasconicus"	"Aphaenops vasconicus Jeannel, 1913"	"Hydraphaenops basque"							"NI3"	""					
"*  Graphodère à deux lignes  ( Graphoderus bilineatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9562	"Graphoderus bilineatus"	"Graphoderus bilineatus (de Geer, 1774)"	"Graphodère à deux lignes"					"CDH4, CDH2"	" "	"NI2"	""					
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
"Cerf-volant  ( Lucanus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	10502	"Lucanus cervus"	"Lucanus cervus (Linnaeus, 1758)"	"Cerf-volant (mâle), Biche (femelle), Lucane, Lucane cerf-volant"					"CDH2"	""							
"*  Bolbelasme à une corne  ( Bolbelasmus unicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10530	"Bolbelasmus unicornis"	"Bolbelasmus unicornis Schrank, 1789"	"Bolbelasme à une corne"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Pique-prune  ( Osmoderma eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10979	"Osmoderma eremita"	"Osmoderma eremita (Scopoli, 1763)"	"Pique-prune, Barbot"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Grand Capricorne  ( Cerambyx cerdo )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	12336	"Cerambyx cerdo"	"Cerambyx cerdo Linnaeus, 1758"	"Grand Capricorne (Le)"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Rosalie des Alpes  ( Rosalia alpina )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	12348	"Rosalia alpina"	"Rosalia alpina (Linnaeus, 1758)"	"Rosalie des Alpes"					"CDH4, CDH2"	" "	"NI2"	""					
"Taupin violacé  ( Limoniscus violaceus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Elateridae"	159441	"Limoniscus violaceus"	"Limoniscus violaceus (P.W.J. Müller, 1821)"	"Taupin violacé"					"CDH2"	""							
"*  Cucujus vermillon  ( Cucujus cinnaberinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cucujidae"	159452	"Cucujus cinnaberinus"	"Cucujus cinnaberinus (Scopoli, 1763)"	"Cucujus vermillon"					"CDH2, CDH4"	" "	"NI2"	""					
"Lucane Cerf-volant  ( Lucanus cervus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	200478	"Lucanus cervus cervus"	"Lucanus cervus cervus (Linnaeus, 1758)"	"Lucane Cerf-volant"					"CDH2"	""							
"*  Barbot  ( Osmoderma eremita eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	200519	"Osmoderma eremita eremita"	"Osmoderma eremita eremita (Scopoli, 1763)"	"Barbot, Pique-prune"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Stephanopachys linearis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bostrichidae"	222052	"Stephanopachys linearis"	"Stephanopachys linearis (Kugelann, 1792)"	""					"CDH2"	""							
"-  ( Stephanopachys substriatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bostrichidae"	222054	"Stephanopachys substriatus"	"Stephanopachys substriatus (Paykull, 1800)"	""					"CDH2"	""							
"*  -  ( Trichaphaenops cerdonicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222671	"Trichaphaenops cerdonicus"	"Trichaphaenops cerdonicus (Abeille de Perrin, 1903)"	""							"NI3"	""					
"*  -  ( Trichaphaenops gounellei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222673	"Trichaphaenops gounellei"	"Trichaphaenops gounellei (Bedel, 1880)"	""							"NI3"	""					
"*  -  ( Trichaphaenops obesus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222674	"Trichaphaenops obesus"	"Trichaphaenops obesus (Abeille de Perrin, 1886)"	""							"NI3"	""					
"*  -  ( Trichaphaenops sollaudi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	222675	"Trichaphaenops sollaudi"	"Trichaphaenops sollaudi Jeannel, 1916"	""							"NI3"	""					
"-  ( Rhysodes sulcatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Rhysodidae"	222951	"Rhysodes sulcatus"	"Rhysodes sulcatus (Fabricius, 1787)"	""					"CDH2"	""							
"*  Carabe noduleux  ( Carabus nodulosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	223028	"Carabus nodulosus"	"Carabus nodulosus Creutzer, 1799"	"Carabe noduleux"					"CDH2, CDH4"	" "	"NI2"	""					
"*  Phryganophile à cou roux  ( Phryganophilus ruficollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223990	"Phryganophilus ruficollis"	"Phryganophilus ruficollis (Fabricius, 1798)"	"Phryganophile à cou roux"					"CDH2, CDH4"	" "	"NI2"	""					
"*  -  ( Trichaphaenops gounellei annae )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251043	"Trichaphaenops gounellei annae"	"Trichaphaenops gounellei annae Jeannel, 1949"	""							"NI3"	""					
"*  -  ( Trichaphaenops gounellei attenuatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251044	"Trichaphaenops gounellei attenuatus"	"Trichaphaenops gounellei attenuatus Jeannel, 1949"	""							"NI3"	""					
"*  -  ( Trichaphaenops gounellei gounellei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251045	"Trichaphaenops gounellei gounellei"	"Trichaphaenops gounellei gounellei (Bedel, 1880)"	""							"NI3"	""					
"*  -  ( Trichaphaenops sollaudi sollaudi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	251049	"Trichaphaenops sollaudi sollaudi"	"Trichaphaenops sollaudi sollaudi Jeannel, 1916"	""							"NI3"	""					
