"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Tortue caouanne  ( Caretta caretta )"	"Chordata"	""	"Chelonii"	"Cheloniidae"	77330	"Caretta caretta"	"Caretta caretta (Linnaeus, 1758)"	"Tortue caouanne (La), Caouanne, Tortue carette"	"DD"	""	"NA"	"b"	"CDH4, CDH2"	" "	"PNTM3"	""					
"*  Tortue verte  ( Chelonia mydas )"	"Chordata"	""	"Chelonii"	"Cheloniidae"	77338	"Chelonia mydas"	"Chelonia mydas (Linnaeus, 1758)"	"Tortue verte, Tortue franche"	"NA"	"b"	"NA"	"b"	"CDH2, CDH4"	" "	"PNTM3"	"y compris la forme agassizii de l'océan Pacifique"					
"*  Tortue imbriquée  ( Eretmochelys imbricata )"	"Chordata"	""	"Chelonii"	"Cheloniidae"	77347	"Eretmochelys imbricata"	"Eretmochelys imbricata (Linnaeus, 1766)"	"Tortue imbriquée"	"NA"	"b"	"NA"	"b"	"CDH4"	""	"PNTM3"	""					
"*  Tortue de Kemp  ( Lepidochelys kempii )"	"Chordata"	""	"Chelonii"	"Cheloniidae"	77352	"Lepidochelys kempii"	"Lepidochelys kempii (Garman, 1880)"	"Tortue de Kemp (La)"	"DD"	""	"NA"	"b"	"CDH4"	""	"PNTM3"	""					
"*  Tortue olivâtre  ( Lepidochelys olivacea )"	"Chordata"	""	"Chelonii"	"Cheloniidae"	77360	"Lepidochelys olivacea"	"Lepidochelys olivacea (Eschscholtz, 1829)"	"Tortue olivâtre (La)"							"PNTM3"	""					
"*  Tortue luth  ( Dermochelys coriacea )"	"Chordata"	""	"Chelonii"	"Dermochelyidae"	77367	"Dermochelys coriacea"	"Dermochelys coriacea (Vandellius, 1761)"	"Tortue luth (La)"	"DD"	""	"NA"	"b"	"CDH4"	""	"PNTM3"	""					
"*  Cistude d'Europe  ( Emys orbicularis )"	"Chordata"	""	"Chelonii"	"Emydidae"	77381	"Emys orbicularis"	"Emys orbicularis (Linnaeus, 1758)"	"Cistude d'Europe (La)"	"LC"	""			"CDH4, CDH2"	" "	"FRAR2"	""					
"*  Cistude d'Europe  ( Emys orbicularis orbicularis )"	"Chordata"	""	"Chelonii"	"Emydidae"	77396	"Emys orbicularis orbicularis"	"Emys orbicularis orbicularis (Linnaeus, 1758)"	"Cistude d'Europe (La)"					"CDH4, CDH2"	" "	"FRAR2"	""					
"*  Cistude d'Europe hellénique  ( Emys orbicularis hellenica )"	"Chordata"	""	"Chelonii"	"Emydidae"	77397	"Emys orbicularis hellenica"	"Emys orbicularis hellenica (Valenciennes in Bibron & Bory de Saint-Vincent, 1833)"	"Cistude d'Europe hellénique (La)"					"CDH2, CDH4"	" "	"FRAR2"	""					
"*  Cistude d'Europe franco-italienne  ( Emys orbicularis galloitalica )"	"Chordata"	""	"Chelonii"	"Emydidae"	77402	"Emys orbicularis galloitalica"	"Emys orbicularis galloitalica Fritz, 1995"	"Cistude d'Europe franco-italienne (La)"					"CDH2, CDH4"	" "	"FRAR2"	""					
"*  Émyde lépreuse  ( Mauremys leprosa )"	"Chordata"	""	"Chelonii"	"Geoemydidae"	77412	"Mauremys leprosa"	"Mauremys leprosa (Schweigger, 1812)"	"Émyde lépreuse (L')"	"VU"	"D1"			"CDH2, CDH4"	" "	"FRAR2"	""					
"Trachémyde écrite  ( Trachemys scripta )"	"Chordata"	""	"Chelonii"	"Emydidae"	77424	"Trachemys scripta"	"Trachemys scripta (Schoepff, 1792)"	"Trachémyde écrite, Tortue de Floride"	"NA"	"a"	"NA"	"a"									
"Tortue mauresque  ( Testudo graeca )"	"Chordata"	""	"Chelonii"	"Testudinidae"	77428	"Testudo graeca"	"Testudo graeca Linnaeus, 1758"	"Tortue mauresque (La), Tortue grecque"					"CDH2, CDH4"	" "							
"Tortue grecque  ( Testudo graeca graeca )"	"Chordata"	""	"Chelonii"	"Testudinidae"	77431	"Testudo graeca graeca"	"Testudo graeca graeca Linnaeus, 1758"	"Tortue grecque (La)"					"CDH4, CDH2"	" "							
"*  -  ( Testudo hermanni )"	"Chordata"	""	"Chelonii"	"Testudinidae"	77433	"Testudo hermanni"	"Testudo hermanni Gmelin, 1789"	""	"VU"	"B(1+2)ab(ii,iii,iv,v)"			"CDH4, CDH2"	" "	"FRAR2"	""					
"Tortue bordée  ( Testudo marginata )"	"Chordata"	""	"Chelonii"	"Testudinidae"	77438	"Testudo marginata"	"Testudo marginata Schoepff, 1793"	"Tortue bordée (La)"					"CDH2, CDH4"	" "							
"*  Orvet fragile  ( Anguis fragilis )"	"Chordata"	""	"Squamata"	"Anguidae"	77490	"Anguis fragilis"	"Anguis fragilis Linnaeus, 1758"	"Orvet fragile (L')"	"LC"	""	"LC"	""			"FRAR3"	""					
"*  Gecko verruqueux  ( Hemidactylus turcicus )"	"Chordata"	""	"Squamata"	"Gekkonidae"	77559	"Hemidactylus turcicus"	"Hemidactylus turcicus (Linnaeus, 1758)"	"Gecko verruqueux (Le), Hémidactyle verruqueux"	"LC"	""					"FRAR3"	""					
"*  Tarente de Maurétanie  ( Tarentola mauritanica )"	"Chordata"	""	"Squamata"	"Phyllodactylidae"	77570	"Tarentola mauritanica"	"Tarentola mauritanica (Linnaeus, 1758)"	"Tarente de Maurétanie (La)"	"LC"	""					"FRAR3"	""					
"*  Tarente de Maurétanie  ( Tarentola mauritanica mauritanica )"	"Chordata"	""	"Squamata"	"Phyllodactylidae"	77574	"Tarentola mauritanica mauritanica"	"Tarentola mauritanica mauritanica (Linnaeus, 1758)"	"Tarente de Maurétanie (La)"							"FRAR3"	""					
"*  Algyroïde de Fitzinger  ( Algyroides fitzingeri )"	"Chordata"	""	"Squamata"	"Lacertidae"	77580	"Algyroides fitzingeri"	"Algyroides fitzingeri (Wiegmann, 1834)"	"Algyroïde de Fitzinger (L')"	"LC"	""			"CDH4"	""	"FRAR2"	""					
"*  Lézard des souches  ( Lacerta agilis )"	"Chordata"	""	"Squamata"	"Lacertidae"	77600	"Lacerta agilis"	"Lacerta agilis Linnaeus, 1758"	"Lézard des souches, Lézard agile"	"NT"	"pr. A4ac"	"EN"	"B2ab(ii,iii)"	"CDH4"	""	"FRAR2"	""					"Déterminante"
"*  Lézard des souches  ( Lacerta agilis agilis )"	"Chordata"	""	"Squamata"	"Lacertidae"	77603	"Lacerta agilis agilis"	"Lacerta agilis agilis Linnaeus, 1758"	"Lézard des souches (Le)"					"CDH4"	""	"FRAR2"	""					
