"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"NT - NT"	"pr. B2 ab - pr. B2ab"									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC - LC"	" - "									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC - LC"	" - "									
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC - LC"	" - "									
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique verrucivore  ( Decticus verrucivorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65687	"Decticus verrucivorus"	"Decticus verrucivorus (Linnaeus, 1758)"	"Dectique verrucivore, Sauterelle à sabre, Sauterelle rondue, Dectique commun, Dectique"			"CR - CR"	"D - D"					"RI11"	""			
"Decticelle grisâtre  ( Platycleis albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65697	"Platycleis albopunctata"	"Platycleis albopunctata (Goeze, 1778)"	"Decticelle grisâtre, Dectique gris"			"LC - LC"	" - "									
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"			"EN - EN"	"B2 ab (iii) - B2ab(iii)"									
"Decticelle des alpages  ( Metrioptera saussuriana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65719	"Metrioptera saussuriana"	"Metrioptera saussuriana (Frey-Gessner, 1872)"	"Decticelle des alpages"			"RE - RE"	" - "									
"Decticelle cendrée  ( Pholidoptera griseoaptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65740	"Pholidoptera griseoaptera"	"Pholidoptera griseoaptera (De Geer, 1773)"	"Decticelle cendrée, Ptérolèpe aptère"			"LC - LC"	" - "									
