"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN_N"	"LRN_N_det"	"LRN_H"	"LRN_H_det"	"LRN_P"	"LRN_P_det"	"LRR_N"	"LRR_N_det"	"LRR_H"	"LRR_H_det"	"LRR_P"	"LRR_P_det"	"DO"	"DO_det"	"PN"	"PN_det"	"ZNIEFF"
"*  Plongeon à bec blanc  ( Gavia adamsii )"	"Chordata"	"Aves"	"Gaviiformes"	"Gaviidae"	953	"Gavia adamsii"	"Gavia adamsii (Gray, 1859)"	"Plongeon à bec blanc"			"NA"	"b"											"NO4"	""	
"*  Plongeon arctique  ( Gavia arctica )"	"Chordata"	"Aves"	"Gaviiformes"	"Gaviidae"	956	"Gavia arctica"	"Gavia arctica (Linnaeus, 1758)"	"Plongeon arctique"			"NA"	"c"	"DD"	""							"CDO1"	""	"NO3"	""	
"*  Plongeon imbrin  ( Gavia immer )"	"Chordata"	"Aves"	"Gaviiformes"	"Gaviidae"	959	"Gavia immer"	"Gavia immer (Brünnich, 1764)"	"Plongeon imbrin"			"VU"	"D1"									"CDO1"	""	"NO3"	""	
"*  Grèbe huppé  ( Podiceps cristatus )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Podicipedidae"	965	"Podiceps cristatus"	"Podiceps cristatus (Linnaeus, 1758)"	"Grèbe huppé"	"LC"	""	"NA"	"c"			"LC"	"VU (D1) (-2)"							"NO3"	""	
"*  Grèbe jougris  ( Podiceps grisegena )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Podicipedidae"	968	"Podiceps grisegena"	"Podiceps grisegena (Boddaert, 1783)"	"Grèbe jougris"	"CR"	"D"	"NA"	"c"											"NO3"	""	
"*  Grèbe esclavon  ( Podiceps auritus )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Podicipedidae"	971	"Podiceps auritus"	"Podiceps auritus (Linnaeus, 1758)"	"Grèbe esclavon"			"VU"	"D1"									"CDO1"	""	"NO3"	""	
"*  Grèbe à cou noir  ( Podiceps nigricollis )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Podicipedidae"	974	"Podiceps nigricollis"	"Podiceps nigricollis Brehm, 1831"	"Grèbe à cou noir"	"LC"	""	"LC"	""			"NA"	"b"							"NO3"	""	
"*  Grèbe castagneux  ( Tachybaptus ruficollis )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Podicipedidae"	977	"Tachybaptus ruficollis"	"Tachybaptus ruficollis (Pallas, 1764)"	"Grèbe castagneux"	"LC"	""	"NA"	"d"			"LC"	""							"NO3"	""	
"*  Grèbe à bec bigarré  ( Podilymbus podiceps )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Podicipedidae"	982	"Podilymbus podiceps"	"Podilymbus podiceps (Linnaeus, 1758)"	"Grèbe à bec bigarré"					"NA"	"b"									"NO4"	""	
"Fulmar géant  ( Macronectes giganteus )"	"Chordata"	"Aves"	"Procellariiformes"	"Procellariidae"	994	"Macronectes giganteus"	"Macronectes giganteus (Gmelin, 1789)"	"Fulmar géant, Pétrel géant"					"NA"	"b"											
