"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Carabe de Solier  ( Carabus solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8470	"Carabus solieri"	"Carabus solieri Dejean, 1826"	"Carabe de Solier"							"NI3"	""					
"*  -  ( Carabus solieri clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8476	"Carabus solieri clairi"	"Carabus solieri clairi Géhin, 1885"	""							"NI3"	""					
"*  -  ( Carabus solieri solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8482	"Carabus solieri solieri"	"Carabus solieri solieri Dejean, 1826"	""							"NI3"	""					
"*  -  ( Aphaenops bucephalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8750	"Aphaenops bucephalus"	"Aphaenops bucephalus (Dieck, 1869)"	""							"NI3"	""					
"*  -  ( Aphaenops jeanneli )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8754	"Aphaenops jeanneli"	"Aphaenops jeanneli (Abeille de Perrin, 1905)"	""							"NI3"	""					
"*  Aphaenops de Leschenault  ( Aphaenops leschenaulti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8755	"Aphaenops leschenaulti"	"Aphaenops leschenaulti Bonvouloir, 1862"	"Aphaenops de Leschenault"							"NI3"	""					
"*  Aphaenops de Loubens  ( Aphaenops loubensi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8756	"Aphaenops loubensi"	"Aphaenops loubensi Jeannel, 1953"	"Aphaenops de Loubens"							"NI3"	""					
"*  Hydraphaenops basque  ( Aphaenops vasconicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8757	"Aphaenops vasconicus"	"Aphaenops vasconicus Jeannel, 1913"	"Hydraphaenops basque"							"NI3"	""					
"*  Graphodère à deux lignes  ( Graphoderus bilineatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9562	"Graphoderus bilineatus"	"Graphoderus bilineatus (de Geer, 1774)"	"Graphodère à deux lignes"					"CDH4, CDH2"	" "	"NI2"	""					
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
"-  ( Merohister ariasi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	10499	"Merohister ariasi"	"Merohister ariasi (Marseul, 1864)"	""													"Déterminante stricte"
"Cerf-volant  ( Lucanus cervus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	10502	"Lucanus cervus"	"Lucanus cervus (Linnaeus, 1758)"	"Cerf-volant (mâle), Biche (femelle), Lucane, Lucane cerf-volant"					"CDH2"	""							
"*  Bolbelasme à une corne  ( Bolbelasmus unicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10530	"Bolbelasmus unicornis"	"Bolbelasmus unicornis Schrank, 1789"	"Bolbelasme à une corne"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Thorectes albarracinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Geotrupidae"	10560	"Thorectes albarracinus"	"Thorectes albarracinus Wagner, 1928"	""													"Déterminante stricte"
"-  ( Brindalus porcicollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10766	"Brindalus porcicollis"	"Brindalus porcicollis (Illiger, 1803)"	""													"Déterminante stricte"
"-  ( Psammodius basalis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10770	"Psammodius basalis"	"Psammodius basalis Mulsant & Rey, 1870"	""													"Déterminante stricte"
"-  ( Psammodius laevipennis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10771	"Psammodius laevipennis"	"Psammodius laevipennis Costa, 1844"	""													"Déterminante stricte"
"-  ( Platytomus tibialis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10776	"Platytomus tibialis"	"Platytomus tibialis (Fabricius, 1798)"	""													"Déterminante stricte"
"-  ( Pleurophorus pannonicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10780	"Pleurophorus pannonicus"	"Pleurophorus pannonicus Petrovitz, 1961"	""													"Déterminante stricte"
"-  ( Rhyssemus algiricus marqueti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10787	"Rhyssemus algiricus marqueti"	"Rhyssemus marqueti Reiche, 1863"	""													"Déterminante stricte"
"-  ( Rhyssemus sulcatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10790	"Rhyssemus sulcatus"	"Rhyssemus sulcatus (Olivier, 1789)"	""													"Déterminante stricte"
"-  ( Rhyssemus plicatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10792	"Rhyssemus plicatus"	"Rhyssemus plicatus (Germar, 1817)"	""													"Déterminante stricte"
"-  ( Scarabaeus sacer )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10804	"Scarabaeus sacer"	"Scarabaeus sacer Linnaeus, 1758"	""													"Déterminante stricte"
"-  ( Scarabaeus laticollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10807	"Scarabaeus laticollis"	"Scarabaeus laticollis Linnaeus, 1767"	""													"Déterminante stricte"
"Scarabée semi-ponctuée  ( Scarabaeus semipunctatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10808	"Scarabaeus semipunctatus"	"Scarabaeus semipunctatus Fabricius, 1792"	"Scarabée semi-ponctuée"													"Déterminante stricte"
"-  ( Copris umbilicatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10814	"Copris umbilicatus"	"Copris umbilicatus Abeille de Perrin, 1901"	""													"Déterminante stricte"
"Copris espagnol  ( Copris hispanus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10815	"Copris hispanus"	"Copris hispanus (Linnaeus, 1764)"	"Copris espagnol"													"Déterminante stricte"
"-  ( Euoniticellus pallipes )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10820	"Euoniticellus pallipes"	"Euoniticellus pallipes (Fabricius, 1781)"	""													"Déterminante stricte"
"Bubas bubale  ( Bubas bubalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10825	"Bubas bubalus"	"Bubas bubalus (Olivier, 1811)"	"Bubas bubale"													"Déterminante stricte"
"-  ( Onthophagus semicornis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10850	"Onthophagus semicornis"	"Onthophagus semicornis (Panzer, 1798)"	""													"Déterminante stricte"
"-  ( Onthophagus grossepunctatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10851	"Onthophagus grossepunctatus"	"Onthophagus grossepunctatus Reitter, 1905"	""													"Déterminante stricte"
"*  Pique-prune  ( Osmoderma eremita )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	10979	"Osmoderma eremita"	"Osmoderma eremita (Scopoli, 1763)"	"Pique-prune, Barbot"					"CDH2, CDH4"	" "	"NI2"	""					"Déterminante stricte"
"-  ( Ogmoderes angusticollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	11088	"Ogmoderes angusticollis"	"Ogmoderes angusticollis (C. Brisout de Barneville, 1862)"	""													"Déterminante stricte"
"-  ( Teredus cylindricus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Bothrideridae"	11090	"Teredus cylindricus"	"Teredus cylindricus (Olivier, 1790)"	""													"Déterminante stricte"
