"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"*  Grand rhinolophe  ( Rhinolophus ferrumequinum )"	"Chordata"	"Mammalia"	"Chiroptera"	"Rhinolophidae"	60295	"Rhinolophus ferrumequinum"	"Rhinolophus ferrumequinum (Schreber, 1774)"	"Grand rhinolophe"	"LC"	""			"CDH2, CDH4"	" Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Grand rhinolophe  ( Rhinolophus ferrumequinum ferrumequinum )"	"Chordata"	"Mammalia"	"Chiroptera"	"Rhinolophidae"	60297	"Rhinolophus ferrumequinum ferrumequinum"	"Rhinolophus ferrumequinum ferrumequinum (Schreber, 1774)"	"Grand rhinolophe"					"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					
"*  Petit rhinolophe  ( Rhinolophus hipposideros )"	"Chordata"	"Mammalia"	"Chiroptera"	"Rhinolophidae"	60313	"Rhinolophus hipposideros"	"Rhinolophus hipposideros (Borkhausen, 1797)"	"Petit rhinolophe"	"LC"	""			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
"*  Rhinolophe euryale  ( Rhinolophus euryale )"	"Chordata"	"Mammalia"	"Chiroptera"	"Rhinolophidae"	60330	"Rhinolophus euryale"	"Rhinolophus euryale Blasius, 1853"	"Rhinolophe euryale"	"LC"	""			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
"*  Rhinolophe de Méhely  ( Rhinolophus mehelyi )"	"Chordata"	"Mammalia"	"Chiroptera"	"Rhinolophidae"	60337	"Rhinolophus mehelyi"	"Rhinolophus mehelyi Matschie, 1901"	"Rhinolophe de Méhely"	"CR*"	"D"			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					
"*  Barbastelle d'Europe  ( Barbastella barbastellus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60345	"Barbastella barbastellus"	"Barbastella barbastellus (Schreber, 1774)"	"Barbastelle d'Europe, Barbastelle"	"LC"	""			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
"*  Sérotine commune  ( Eptesicus serotinus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60360	"Eptesicus serotinus"	"Eptesicus serotinus (Schreber, 1774)"	"Sérotine commune"	"NT"	"pr. A3c"			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Murin à moustaches  ( Myotis mystacinus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60383	"Myotis mystacinus"	"Myotis mystacinus (Kuhl, 1817)"	"Murin à moustaches, Vespertilion à moustaches"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Murin à oreilles échancrées  ( Myotis emarginatus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60400	"Myotis emarginatus"	"Myotis emarginatus (É. Geoffroy Saint-Hilaire, 1806)"	"Murin à oreilles échancrées, Vespertilion à oreilles échancrées"	"LC"	""			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
"*  Murin de Natterer  ( Myotis nattereri )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60408	"Myotis nattereri"	"Myotis nattereri (Kuhl, 1817)"	"Murin de Natterer, Vespertilion de Natterer"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Murin d'Escalera  ( Myotis escalerai )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60411	"Myotis escalerai"	"Myotis escalerai Cabrera, 1904"	"Murin d'Escalera"	"VU"	"D2"			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Grand Murin  ( Myotis myotis )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60418	"Myotis myotis"	"Myotis myotis (Borkhausen, 1797)"	"Grand Murin"	"LC"	""			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
"*  Petit Murin  ( Myotis blythii )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60427	"Myotis blythii"	"Myotis blythii (Tomes, 1857)"	"Petit Murin"	"NT"	"pr. A3c"			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
"*  Murin de Capaccini  ( Myotis capaccinii )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60439	"Myotis capaccinii"	"Myotis capaccinii (Bonaparte, 1837)"	"Murin de Capaccini, Vespertilion de Capaccini"	"NT"	"pr. A3c"			"CDH2, CDH4"	" Toutes les espèces"	"NM2"	""					
"*  Murin des marais  ( Myotis dasycneme )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60447	"Myotis dasycneme"	"Myotis dasycneme (Boie, 1825)"	"Murin des marais, Vespertilion des marais"	"EN"	"B(1+2)ab(iii) D"			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					
"*  Grande Noctule  ( Nyctalus lasiopterus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60457	"Nyctalus lasiopterus"	"Nyctalus lasiopterus (Schreber, 1780)"	"Grande Noctule"	"VU"	"B2ab(iii)"			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Noctule de Leisler  ( Nyctalus leisleri )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60461	"Nyctalus leisleri"	"Nyctalus leisleri (Kuhl, 1817)"	"Noctule de Leisler"	"NT"	"pr. A3c+4bc"			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Noctule de Leisler  ( Nyctalus leisleri leisleri )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60463	"Nyctalus leisleri leisleri"	"Nyctalus leisleri leisleri (Kuhl, 1817)"	"Noctule de Leisler"					"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Noctule commune  ( Nyctalus noctula )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60468	"Nyctalus noctula"	"Nyctalus noctula (Schreber, 1774)"	"Noctule commune"	"VU"	"A2b+3c+4bc"			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Pipistrelle commune  ( Pipistrellus pipistrellus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60479	"Pipistrellus pipistrellus"	"Pipistrellus pipistrellus (Schreber, 1774)"	"Pipistrelle commune"	"NT"	"pr. A3c+4bc"			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Pipistrelle pygmée  ( Pipistrellus pygmaeus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60489	"Pipistrellus pygmaeus"	"Pipistrellus pygmaeus (Leach, 1825)"	"Pipistrelle pygmée"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Pipistrelle de Nathusius  ( Pipistrellus nathusii )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60490	"Pipistrellus nathusii"	"Pipistrellus nathusii (Keyserling & Blasius, 1839)"	"Pipistrelle de Nathusius"	"NT"	"pr. A3c"			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Vespère de Savi  ( Hypsugo savii )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60506	"Hypsugo savii"	"Hypsugo savii (Bonaparte, 1837)"	"Vespère de Savi"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Oreillard roux  ( Plecotus auritus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60518	"Plecotus auritus"	"Plecotus auritus (Linnaeus, 1758)"	"Oreillard roux, Oreillard septentrional"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Oreillard roux  ( Plecotus auritus auritus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60520	"Plecotus auritus auritus"	"Plecotus auritus auritus (Linnaeus, 1758)"	"Oreillard roux, Oreillard septentrional"					"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Oreillard gris  ( Plecotus austriacus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60527	"Plecotus austriacus"	"Plecotus austriacus (J. B. Fischer, 1829)"	"Oreillard gris, Oreillard méridional"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Vespertilion bicolore  ( Vespertilio murinus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	60537	"Vespertilio murinus"	"Vespertilio murinus Linnaeus, 1758"	"Vespertilion bicolore, Sérotine bicolore"	"DD"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Molosse de Cestoni  ( Tadarida teniotis )"	"Chordata"	"Mammalia"	"Chiroptera"	"Molossidae"	60557	"Tadarida teniotis"	"Tadarida teniotis (Rafinesque, 1814)"	"Molosse de Cestoni"	"NT"	"pr. A3c"			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Murin du Maghreb  ( Myotis punicus )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	79298	"Myotis punicus"	"Myotis punicus Felten, 1977"	"Murin du Maghreb"	"VU"	"B(1+2)ab(iii,v) C1+2a(i)"			"CDH4"	"Toutes les espèces"	"NM2"	""					
"*  Murin d'Alcathoe  ( Myotis alcathoe )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	79299	"Myotis alcathoe"	"Myotis alcathoe Helversen & Heller, 2001"	"Murin d'Alcathoe"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Murin de Brandt  ( Myotis brandtii )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	79300	"Myotis brandtii"	"Myotis brandtii (Eversmann, 1845)"	"Murin de Brandt"	"LC"	""			"CDH4"	"Toutes les espèces"	"NM2"	""					"Déterminante"
"*  Murin de Bechstein  ( Myotis bechsteinii )"	"Chordata"	"Mammalia"	"Chiroptera"	"Vespertilionidae"	79301	"Myotis bechsteinii"	"Myotis bechsteinii (Kuhl, 1817)"	"Murin de Bechstein"	"NT"	"pr. A3c"			"CDH4, CDH2"	"Toutes les espèces "	"NM2"	""					"Déterminante"
