"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Phanéroptère liliacé  ( Tylopsis liliifolia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65618	"Tylopsis liliifolia"	"Tylopsis lilifolia (Fabricius, 1793)"	"Phanéroptère liliacé,  Phi.lnéroptère feuille-de-lys,  Sauterelle feuille-de-lys"													"Déterminante"
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"													"Déterminante"
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique verrucivore  ( Decticus verrucivorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65687	"Decticus verrucivorus"	"Decticus verrucivorus (Linnaeus, 1758)"	"Dectique verrucivore, Sauterelle à sabre, Sauterelle rondue, Dectique commun, Dectique"													"Déterminante"
"Dectique à front blanc  ( Decticus albifrons )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65688	"Decticus albifrons"	"Decticus albifrons (Fabricius, 1775)"	"Dectique à front blanc, Sauterelle à front blanc"													"Déterminante"
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"													"Déterminante"
"Decticelle des alpages  ( Metrioptera saussuriana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65719	"Metrioptera saussuriana"	"Metrioptera saussuriana (Frey-Gessner, 1872)"	"Decticelle des alpages"													"Déterminante"
"Decticelle des roselières   ( Pholidoptera femorata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65737	"Pholidoptera femorata"	"Pholidoptera femorata (Fieber, 1853)"	"Decticelle des roselières , Decticelle des friches"													"Déterminante"
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"													"Déterminante"
"Méconème scutigère  ( Cyrtaspis scutata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65894	"Cyrtaspis scutata"	"Cyrtaspis scutata (Charpentier, 1825)"	"Méconème scutigère,  Sauterelle à carapace"													"Déterminante"
"Grillon noirâtre  ( Melanogryllus desertus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65923	"Melanogryllus desertus"	"Melanogryllus desertus (Pallas, 1771)"	"Grillon noirâtre, Grillon pubescent"													"Déterminante"
"Grillon des torrents  ( Pteronemobius lineolatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65935	"Pteronemobius lineolatus"	"Pteronemobius lineolatus (Brullé, 1835)"	"Grillon des torrents"													"Déterminante"
"Tétrix des plages  ( Paratettix meridionalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66026	"Paratettix meridionalis"	"Paratettix meridionalis (Rambur, 1838)"	"Tétrix des plages, Tétrix méridional"													"Déterminante"
"Tétrix caucasien  ( Tetrix bolivari )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66029	"Tetrix bolivari"	"Tetrix bolivari Saulcy in Azam, 1901"	"Tétrix caucasien, Tétrix des rizières"													"Déterminante"
"Tétrix déprimé  ( Depressotetrix depressa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66039	"Depressotetrix depressa"	"Tetrix depressa Brisout de Barneville, 1848"	"Tétrix déprimé"													"Déterminante"
"*  Criquet rhodanien  ( Prionotropis rhodanica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Pamphagidae"	66052	"Prionotropis rhodanica"	"Prionotropis rhodanica Uvarov, 1923"	"Criquet rhodanien, Miramelle des moraines, Criquet marcheur, Criquet pédestre"							"NI3"	""					
"Criquet rouge-queue  ( Omocestus haemorrhoidalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66085	"Omocestus haemorrhoidalis"	"Omocestus haemorrhoidalis (Charpentier, 1825)"	"Criquet rouge-queue"													"Déterminante"
