"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"NT"	"pr. B2b(ii,iii,v)"									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"NT"	"pr. B2b(iii)"									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Phanéroptère liliacé  ( Tylopsis lilifolia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65618	"Tylopsis lilifolia"	"Tylopsis lilifolia (Fabricius, 1793)"	"Phanéroptère liliacé,  Phi.lnéroptère feuille-de-lys,  Sauterelle feuille-de-lys"			"NT"	"pr. B2b(iii)"									
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"			"LC"	""									
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Ephippigère carénée  ( Uromenus rugosicollis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65677	"Uromenus rugosicollis"	"Uromenus rugosicollis (Audinet Serville, 1838)"	"Ephippigère carénée"			"LC"	""									
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"					"CDH4"	""	"NI2"	""					
"Dectique à front blanc  ( Decticus albifrons )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65688	"Decticus albifrons"	"Decticus albifrons (Fabricius, 1775)"	"Dectique à front blanc, Sauterelle à front blanc"			"NT"	"pr. B2b(iii)"									
"Decticelle chagrinée  ( Platycleis albopunctata albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65699	"Platycleis albopunctata albopunctata"	"Platycleis albopunctata albopunctata (Goeze, 1778)"	"Decticelle chagrinée"			"LC"	""									
"Decticelle intermédiaire  ( Platycleis intermedia intermedia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65706	"Platycleis intermedia intermedia"	"Platycleis intermedia intermedia (Audinet-Serville, 1838)"	"Decticelle intermédiaire"			"DD"	""									
"Decticelle échassière  ( Sepiana sepium )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65728	"Sepiana sepium"	"Sepiana sepium (Yersin, 1854)"	"Decticelle échassière, Decticelle des haies, Dectique des haies"			"LC"	""									
"Decticelle des roselières   ( Pholidoptera femorata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65737	"Pholidoptera femorata"	"Pholidoptera femorata (Fieber, 1853)"	"Decticelle des roselières , Decticelle des friches"			"NT"	"pr. B1+2b(iii)"									
"Decticelle cendrée  ( Pholidoptera griseoaptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65740	"Pholidoptera griseoaptera"	"Pholidoptera griseoaptera (De Geer, 1773)"	"Decticelle cendrée, Ptérolèpe aptère"			"LC"	""									
"Decticelle frêle  ( Yersinella raymondii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65752	"Yersinella raymondii"	"Yersinella raymondii (Yersin, 1860)"	"Decticelle frêle"			"NT"	"pr. B2b(iii)"									
"Dectique des brandes  ( Gampsocleis glabra )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65771	"Gampsocleis glabra"	"Gampsocleis glabra (Herbst, 1786)"	"Dectique des brandes"			"RE"	""									
"Grande Sauterelle verte  ( Tettigonia viridissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65774	"Tettigonia viridissima"	"Tettigonia viridissima (Linnaeus, 1758)"	"Grande Sauterelle verte, Sauterelle verte (des prés),  Tettigonie verte, Sauterelle à coutelas"			"LC"	""									
"Conocéphale bigarré  ( Conocephalus fuscus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65877	"Conocephalus fuscus"	"Conocephalus fuscus (Fabricius, 1793)"	"Conocéphale bigarré, Xiphidion Brun"			"LC"	""									
"Conocéphale des Roseaux  ( Conocephalus dorsalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65878	"Conocephalus dorsalis"	"Conocephalus dorsalis (Latreille, 1804)"	"Conocéphale des Roseaux"			"EN"	"B2ab(ii,iii)"									
"Conocéphale gracieux  ( Ruspolia nitidula nitidula )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65885	"Ruspolia nitidula nitidula"	"Ruspolia nitidula nitidula (Scopoli, 1786)"	"Conocéphale gracieux"			"LC"	""									
"Méconème tambourinaire  ( Meconema thalassinum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65889	"Meconema thalassinum"	"Meconema thalassinum (De Geer, 1773)"	"Méconème tambourinaire, Méconème varié,  Sauterelle des Chênes"			"LC"	""									
"Méconème fragile  ( Meconema meridionale )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65891	"Meconema meridionale"	"Meconema meridionale A. Costa, 1860"	"Méconème fragile"			"LC"	""									
"Méconème scutigère  ( Cyrtaspis scutata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65894	"Cyrtaspis scutata"	"Cyrtaspis scutata (Charpentier, 1825)"	"Méconème scutigère,  Sauterelle à carapace"			"LC"	""									
"Courtilière commune  ( Gryllotalpa gryllotalpa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllotalpidae"	65899	"Gryllotalpa gryllotalpa"	"Gryllotalpa gryllotalpa (Linnaeus, 1758)"	"Courtilière commune, Courtilière, Taupe-Grillon, Perce-chaussée, Taupette, Avant-taupe, Ecrevisse de terre, Loup de terre"			"NT"	"pr. B2b(ii,iii,v)"									
"Grillon champêtre  ( Gryllus campestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65910	"Gryllus campestris"	"Gryllus campestris Linnaeus, 1758"	"Grillon champêtre, Grillon des champs, Gril, Riquet, Cricri,Grésillon, Grillon sauvage, Petit Cheval du Bon Dieu, Grill"			"LC"	""									
"Grillon domestique  ( Acheta domesticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65918	"Acheta domesticus"	"Acheta domesticus (Linnaeus, 1758)"	"Grillon domestique, Grillon du foyer, Cri-cri, Grelet, Grillon des maisons, Grillet, Grillot, Crinchon, Guersillon, Petit Cheval du Bon Dieu"			"NA"	"a"									
"Grillon noirâtre  ( Melanogryllus desertus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Gryllidae"	65923	"Melanogryllus desertus"	"Melanogryllus desertus (Pallas, 1771)"	"Grillon noirâtre, Grillon pubescent"			"DD"	""									
"Grillon des torrents  ( Pteronemobius lineolatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Trigonidiidae"	65935	"Pteronemobius lineolatus"	"Pteronemobius lineolatus (Brullé, 1835)"	"Grillon des torrents"			"LC"	""									
"-  ( Diestrammena asynamora )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Rhaphidophoridae"	65975	"Diestrammena asynamora"	"Tachycines asynamorus Adelung, 1902"	""			"NA"	"a"									
"Tétrix des plages  ( Paratettix meridionalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66026	"Paratettix meridionalis"	"Paratettix meridionalis (Rambur, 1838)"	"Tétrix des plages, Tétrix méridional"			"LC"	""									
"Tétrix caucasien  ( Tetrix bolivari )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66029	"Tetrix bolivari"	"Tetrix bolivari Saulcy in Azam, 1901"	"Tétrix caucasien, Tétrix des rizières"			"DD"	""									
"Tétrix riverain  ( Tetrix subulata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66032	"Tetrix subulata"	"Tetrix subulata (Linnaeus, 1758)"	"Tétrix riverain, Tétrix subulé, Tétrix subulée,  Criquet à corselet allongé"			"LC"	""									
