"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Pseudomasoreus canigoulensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8186	"Pseudomasoreus canigoulensis"	"Pseudomasoreus canigoulensis (Fairmaire & Laboulbène, 1854)"	""													"Déterminante"
"-  ( Xenonychus tridens )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	8261	"Xenonychus tridens"	"Xenonychus tridens (Jacquelin du Val, 1853)"	""													"Déterminante"
"-  ( Cychrus angustatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8346	"Cychrus angustatus"	"Cychrus angustatus Hoppe & Hornschuch, 1825"	""													"Déterminante"
"-  ( Carabus morbillosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8406	"Carabus morbillosus"	"Carabus morbillosus Fabricius, 1792"	""													"Déterminante"
"-  ( Carabus vagans )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8469	"Carabus vagans"	"Carabus vagans Olivier, 1795"	""													"Déterminante"
"*  Carabe de Solier  ( Carabus solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8470	"Carabus solieri"	"Carabus solieri Dejean, 1826"	"Carabe de Solier"							"NI3"	""					"Déterminante"
"*  -  ( Carabus solieri clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8476	"Carabus solieri clairi"	"Carabus solieri clairi Géhin, 1885"	""							"NI3"	""					
"*  -  ( Carabus solieri solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8482	"Carabus solieri solieri"	"Carabus solieri solieri Dejean, 1826"	""							"NI3"	""					
"-  ( Broscus cephalotes )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8575	"Broscus cephalotes"	"Broscus cephalotes (Linnaeus, 1758)"	""													"Déterminante"
"-  ( Anillus frater )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8716	"Anillus frater"	"Anillus frater Aubé, 1863"	""													"Déterminante"
"-  ( Anillus hypogaeus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8717	"Anillus hypogaeus"	"Anillus hypogaeus Aubé, 1861"	""													"Déterminante"
"-  ( Trechus maritimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8726	"Trechus maritimus"	"Trechus maritimus Sainte-Claire Deville, 1907"	""													"Déterminante"
"-  ( Duvalius brujasi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8736	"Duvalius brujasi"	"Duvalius brujasi (Sainte-Claire Deville, 1901)"	""													"Déterminante"
"-  ( Duvalius clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8739	"Duvalius clairi"	"Duvalius clairi (Abeille de Perrin, 1881)"	""													"Déterminante"
"-  ( Duvalius lantosquensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8740	"Duvalius lantosquensis"	"Duvalius lantosquensis (Abeille de Perrin, 1881)"	""													"Déterminante"
"*  -  ( Aphaenops bucephalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8750	"Aphaenops bucephalus"	"Aphaenops bucephalus (Dieck, 1869)"	""							"NI3"	""					
"*  -  ( Aphaenops jeanneli )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8754	"Aphaenops jeanneli"	"Aphaenops jeanneli (Abeille de Perrin, 1905)"	""							"NI3"	""					
"*  Aphaenops de Leschenault  ( Aphaenops leschenaulti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8755	"Aphaenops leschenaulti"	"Aphaenops leschenaulti Bonvouloir, 1862"	"Aphaenops de Leschenault"							"NI3"	""					
"*  Aphaenops de Loubens  ( Aphaenops loubensi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8756	"Aphaenops loubensi"	"Aphaenops loubensi Jeannel, 1953"	"Aphaenops de Loubens"							"NI3"	""					
"*  Hydraphaenops basque  ( Aphaenops vasconicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8757	"Aphaenops vasconicus"	"Aphaenops vasconicus Jeannel, 1913"	"Hydraphaenops basque"							"NI3"	""					
"-  ( Pterostichus devillei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9084	"Pterostichus devillei"	"Pterostichus devillei Puel, 1924"	""													"Déterminante"
"-  ( Pterostichus gracilis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9141	"Pterostichus gracilis"	"Pterostichus gracilis (Dejean, 1828)"	""													"Déterminante"
"-  ( Cymindis abeillei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9167	"Cymindis abeillei"	"Cymindis abeillei Jeannel, 1942"	""													"Déterminante"
"-  ( Amara lantoscana )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9210	"Amara lantoscana"	"Amara lantoscana Fauvel, 1888"	""													"Déterminante"
"-  ( Harpalus punctipennis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9322	"Harpalus punctipennis"	"Harpalus punctipennis Mulsant, 1852"	""													"Déterminante"
"-  ( Licinus oblongus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9366	"Licinus oblongus"	"Licinus oblongus Dejean, 1826"	""													"Déterminante"
"-  ( Epomis circumscriptus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9373	"Epomis circumscriptus"	"Chlaenius circumscriptus (Duftschmid, 1812)"	""													"Déterminante"
"*  Graphodère à deux lignes  ( Graphoderus bilineatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9562	"Graphoderus bilineatus"	"Graphoderus bilineatus (de Geer, 1774)"	"Graphodère à deux lignes"					"CDH4, CDH2"	" "	"NI2"	""					
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
"-  ( Philonthus montivagoides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	9936	"Philonthus montivagoides"	"Philonthus nimbicola Fauvel, 1874"	""													"Déterminante"
"-  ( Leptotyphlus domensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10025	"Leptotyphlus domensis"	"Leptotyphlus domensis Coiffait, 1957"	""													"Déterminante"
"-  ( Leptotyphlus londensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10028	"Leptotyphlus londensis"	"Leptotyphlus londensis Coiffait, 1959"	""													"Déterminante"
"-  ( Leptotyphlus transensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10039	"Leptotyphlus transensis"	"Leptotyphlus transensis Coiffait, 1959"	""													"Déterminante"
"-  ( Leptotyphlus furcatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10043	"Leptotyphlus furcatus"	"Leptotyphlus furcatus Coiffait, 1957"	""													"Déterminante"
"-  ( Leptotyphlus gardensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10045	"Leptotyphlus gardensis"	"Leptotyphlus gardensis Coiffait, 1959"	""													"Déterminante"
"-  ( Mayetia balachowskyi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10050	"Mayetia balachowskyi"	"Mayetia balachowskyi Hervé, 1971"	""													"Déterminante"
"-  ( Mayetia bossongi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10053	"Mayetia bossongi"	"Mayetia bossongi Coiffait, 1957"	""													"Déterminante"
"-  ( Mayetia collensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10056	"Mayetia collensis"	"Mayetia collensis Coiffait, 1957"	""													"Déterminante"
"-  ( Mayetia issolensis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10063	"Mayetia issolensis"	"Mayetia issolensis Coiffait, 1962"	""													"Déterminante"
"-  ( Mayetia subhoffmani )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10073	"Mayetia subhoffmani"	"Mayetia subhoffmanni Hervé, 1964"	""													"Déterminante"
"-  ( Mayetia valleti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10074	"Mayetia valleti"	"Mayetia valleti Hervé, 1972"	""													"Déterminante"
"-  ( Glyphobythus maritimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10256	"Glyphobythus maritimus"	"Glyphobythus maritimus (Reitter, 1884)"	""													"Déterminante"
"-  ( Glyphobythus rugulosus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10257	"Glyphobythus rugulosus"	"Glyphobythus rugulosus Jeannel, 1950"	""													"Déterminante"
"-  ( Glyphobythus gracilipes )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10260	"Glyphobythus gracilipes"	"Glyphobythus gracilipes (Sainte-Claire Deville, 1899)"	""													"Déterminante"
"-  ( Pselaphostomus stussineri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Staphylinidae"	10263	"Pselaphostomus stussineri"	"Pselaphostomus stussineri (Saulcy, 1881)"	""													"Déterminante"
"-  ( Bathysciola aubei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Leiodidae"	10339	"Bathysciola aubei"	"Bathysciola aubei (Kiesenwetter, 1850)"	""													"Déterminante"
