"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Criquet ensanglanté  ( Stethophyma grossum )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65487	"Stethophyma grossum"	"Stethophyma grossum (Linnaeus, 1758)"	"Criquet ensanglanté, Œdipode ensanglantée"			"NT"	"pr. B2b (iii)"									
"Criquet des Genévriers  ( Euthystira brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	65496	"Euthystira brachyptera"	"Euthystira brachyptera (Ocskay, 1826)"	"Criquet des Genévriers"			"LC"	""									
"Phanéroptère commun  ( Phaneroptera falcata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65613	"Phaneroptera falcata"	"Phaneroptera falcata (Poda, 1761)"	"Phanéroptère commun, Phanéroptère porte-faux, Phanéroptère en faulx,  Phanéroptère en faux"			"LC"	""									
"Phanéroptère méridional  ( Phaneroptera nana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65614	"Phaneroptera nana"	"Phaneroptera nana Fieber, 1853"	"Phanéroptère méridional"			"LC"	""									
"Phanéroptère liliacé  ( Tylopsis lilifolia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65618	"Tylopsis lilifolia"	"Tylopsis lilifolia (Fabricius, 1793)"	"Phanéroptère liliacé,  Phi.lnéroptère feuille-de-lys,  Sauterelle feuille-de-lys"			"LC"	""									
"Barbitiste des Pyrénées  ( Isophya pyrenaea )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65625	"Isophya pyrenaea"	"Isophya pyrenaea (Audinet-Serville, 1838)"	"Barbitiste des Pyrénées"			"LC"	""									
"Barbitiste languedocien  ( Barbitistes fischeri )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65628	"Barbitistes fischeri"	"Barbitistes fischeri (Yersin, 1854)"	"Barbitiste languedocien, Bourdragc, Odontura de Fisher"			"LC"	""									
"Barbitiste empourpré  ( Barbitistes obtusus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65630	"Barbitistes obtusus"	"Barbitistes obtusus Targioni-Tozzetti, 1881"	"Barbitiste empourpré,  Barbitiste obtus"			"LC"	""									
"Leptophye sarmate  ( Leptophyes boscii )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65635	"Leptophyes boscii"	"Leptophyes boscii Fieber, 1853"	"Leptophye sarmate"			"NT"	"pr. B1,B2a"									
"Leptophye ponctuée  ( Leptophyes punctatissima )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65636	"Leptophyes punctatissima"	"Leptophyes punctatissima (Bosc, 1792)"	"Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué"			"LC"	""									
"Leptophye provençale  ( Leptophyes laticauda )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65637	"Leptophyes laticauda"	"Leptophyes laticauda (Frivaldszky, 1867)"	"Leptophye provençale"			"LC"	""									
"Barbitiste à bouclier  ( Polysarcus scutatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65639	"Polysarcus scutatus"	"Polysarcus scutatus (Brunner von Wattenwyl, 1882)"	"Barbitiste à bouclier"			"EN"	"B2ab(iii)"									"Déterminante"
"Barbitiste ventru  ( Polysarcus denticauda )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65641	"Polysarcus denticauda"	"Polysarcus denticauda (Charpentier, 1825)"	"Barbitiste ventru,  Barbitiste queue-dentée"			"LC"	""									
"Ephippigère provençale  ( Ephippiger provincialis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65657	"Ephippiger provincialis"	"Ephippiger provincialis Yersin, 1854"	"Ephippigère provençale, Ephippigère de Provence, Boudraya, Boudraga"			"VU"	"B1,B2ab (ii,iii,iv,v)"									
"Ephippigère terrestre  ( Ephippiger terrestris )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65659	"Ephippiger terrestris"	"Ephippiger terrestris Yersin, 1854"	"Ephippigère terrestre"			"LC"	""									
"Ephippigère carénée  ( Uromenus rugosicollis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65677	"Uromenus rugosicollis"	"Uromenus rugosicollis (Audinet Serville, 1838)"	"Ephippigère carénée"			"NT"	"pr. B2a"									
"*  Magicienne dentelée  ( Saga pedo )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65680	"Saga pedo"	"Saga pedo (Pallas, 1771)"	"Magicienne dentelée, Langouste de Provence, Saga aux longues pattes"			"LC"	""	"CDH4"	""	"NI2"	""					
"Dectique verrucivore  ( Decticus verrucivorus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65687	"Decticus verrucivorus"	"Decticus verrucivorus (Linnaeus, 1758)"	"Dectique verrucivore, Sauterelle à sabre, Sauterelle rondue, Dectique commun, Dectique"			"LC"	""									
"Dectique à front blanc  ( Decticus albifrons )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65688	"Decticus albifrons"	"Decticus albifrons (Fabricius, 1775)"	"Dectique à front blanc, Sauterelle à front blanc"			"LC"	""									
"Decticelle grisâtre  ( Platycleis albopunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65697	"Platycleis albopunctata"	"Platycleis albopunctata (Goeze, 1778)"	"Decticelle grisâtre, Dectique gris"			"LC"	""									
"Decticelle comtadine  ( Platycleis waltheri )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65702	"Platycleis waltheri"	"Platycleis waltheri Harz, 1966"	"Decticelle comtadine"			"DD"	""									
"Decticelle des sables  ( Platycleis sabulosa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65704	"Platycleis sabulosa"	"Platycleis sabulosa Azam, 1901"	"Decticelle des sables"			"LC"	""									
"Decticelle intermédiaire  ( Platycleis intermedia )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65705	"Platycleis intermedia"	"Platycleis intermedia (Audinet-Serville, 1838)"	"Decticelle intermédiaire"			"LC"	""									
"Decticelle à serpe  ( Platycleis falx )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65708	"Platycleis falx"	"Platycleis falx (Fabricius, 1775)"	"Decticelle à serpe"			"NT"	"pr. B1,B2b (i,ii,iii)"									
"Decticelle côtière  ( Platycleis affinis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65710	"Platycleis affinis"	"Platycleis affinis Fieber, 1853"	"Decticelle côtière"			"LC"	""									
"Decticelle des bruyères  ( Metrioptera brachyptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65718	"Metrioptera brachyptera"	"Metrioptera brachyptera (Linnaeus, 1761)"	"Decticelle des bruyères"			"LC"	""									
"Decticelle des alpages  ( Metrioptera saussuriana )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65719	"Metrioptera saussuriana"	"Metrioptera saussuriana (Frey-Gessner, 1872)"	"Decticelle des alpages"			"LC"	""									
"Decticelle échassière  ( Sepiana sepium )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65728	"Sepiana sepium"	"Sepiana sepium (Yersin, 1854)"	"Decticelle échassière, Decticelle des haies, Dectique des haies"			"LC"	""									
"Decticelle aptère  ( Pholidoptera aptera )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65735	"Pholidoptera aptera"	"Pholidoptera aptera (Fabricius, 1793)"	"Decticelle aptère, Sauterelle aptère"			"LC"	""									
"Decticelle des roselières   ( Pholidoptera femorata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65737	"Pholidoptera femorata"	"Pholidoptera femorata (Fieber, 1853)"	"Decticelle des roselières , Decticelle des friches"			"LC"	""									
"Decticelle trompeuse  ( Pholidoptera fallax )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tettigoniidae"	65739	"Pholidoptera fallax"	"Pholidoptera fallax (Fischer, 1853)"	"Decticelle trompeuse"			"LC"	""									
