"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Wallaby de Bennett  ( Macropus rufogriseus )"	"Chordata"	"Mammalia"	"Diprotodontia"	"Macropodidae"	60003	"Macropus rufogriseus"	"Macropus rufogriseus (Desmarest, 1817)"	"Wallaby de Bennett"	"NA"	"a"											
"*  Hérisson d'Europe  ( Erinaceus europaeus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Erinaceidae"	60015	"Erinaceus europaeus"	"Erinaceus europaeus Linnaeus, 1758"	"Hérisson d'Europe"	"LC"	""	"LC"	""			"NM2"	""					
"Musaraigne pygmée  ( Sorex minutus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60038	"Sorex minutus"	"Sorex minutus Linnaeus, 1766"	"Musaraigne pygmée"	"LC"	""	"LC"	""									
"Musaraigne carrelet  ( Sorex araneus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60062	"Sorex araneus"	"Sorex araneus Linnaeus, 1758"	"Musaraigne carrelet"	"DD"	""	"LC"	""									
"Musaraigne couronnée  ( Sorex coronatus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60102	"Sorex coronatus"	"Sorex coronatus Millet, 1828"	"Musaraigne couronnée"	"LC"	""	"LC"	""									
"Musaraigne alpine  ( Sorex alpinus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60106	"Sorex alpinus"	"Sorex alpinus Schinz, 1837"	"Musaraigne alpine"	"DD"	""	"NT"	"pr. B2ab(i,iii)"									
"*  Crossope de Miller  ( Neomys milleri )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60123	"Neomys milleri"	"Neomys milleri Mottaz, 1907"	"Crossope de Miller, Musaraigne de Miller"	"LC"	""	"VU"	"B1ab(i,iii)"			"NM2"	""					
"*  Crossope aquatique  ( Neomys fodiens )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60127	"Neomys fodiens"	"Neomys fodiens (Pennant, 1771)"	"Crossope aquatique, Musaraigne aquatique, Musaraigne d'eau, Musaraigne porte-rame"	"LC"	""	"VU"	"B2ab(i,iii)"			"NM2"	""					
"*  Crossope aquatique  ( Neomys fodiens fodiens )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60130	"Neomys fodiens fodiens"	"Neomys fodiens fodiens (Pennant, 1771)"	"Crossope aquatique, Musaraigne aquatique"							"NM2"	""					
"Crocidure leucode  ( Crocidura leucodon )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60176	"Crocidura leucodon"	"Crocidura leucodon (Hermann, 1780)"	"Crocidure leucode"	"NT"	"pr. A4c"	"DD"	""									
"Crocidure musette  ( Crocidura russula )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60205	"Crocidura russula"	"Crocidura russula (Hermann, 1780)"	"Crocidure musette"	"LC"	""	"LC"	""									
"Pachyure étrusque  ( Suncus etruscus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Soricidae"	60237	"Suncus etruscus"	"Suncus etruscus (Savi, 1822)"	"Pachyure étrusque"	"LC"	""	"DD"	""									
"*  Desman des Pyrénées  ( Galemys pyrenaicus )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Talpidae"	60243	"Galemys pyrenaicus"	"Galemys pyrenaicus (É. Geoffroy Saint-Hilaire, 1811)"	"Desman des Pyrénées, Rat-trompette"	"VU"	"A2c B(1+2)ab(i,ii,iii,iv,v)"			"CDH2, CDH4"	" "	"NM2"	""					
"Taupe d'Europe  ( Talpa europaea )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Talpidae"	60249	"Talpa europaea"	"Talpa europaea Linnaeus, 1758"	"Taupe d'Europe"	"LC"	""	"LC"	""									
"Taupe aveugle  ( Talpa caeca )"	"Chordata"	"Mammalia"	"Eulipotyphla"	"Talpidae"	60276	"Talpa caeca"	"Talpa caeca Savi, 1822"	"Taupe aveugle"	"NT"	"pr. B(1+2)a"											
"Renard polaire  ( Vulpes lagopus )"	"Chordata"	"Mammalia"	"Carnivora"	"Canidae"	60575	"Vulpes lagopus"	"Vulpes lagopus (Linnaeus, 1758)"	"Renard polaire"					"CDH2, CDH4"	" "							
"*  Loup gris  ( Canis lupus )"	"Chordata"	"Mammalia"	"Carnivora"	"Canidae"	60577	"Canis lupus"	"Canis lupus Linnaeus, 1758"	"Loup gris, Loup"	"VU"	"EN (D) (-1)"	"VU"	"D1"	"CDH2, CDH4"	"excepté la population estonienne; populations grecques: seulement celles au sud du 39° parallèle; populations espagnoles: seulement celles au sud du Duero; populations lettonnes, lituaniennes et finlandaises excepté les populations grecques au nord du 39ème parallèlele, les populations estoniennes, les populations espagnoles au nord du Duero; les populations bulgares, lettonnes, lituaniennes, polonaises et slovaques et les populations finlandaises à l'intérieur de la zone de gestion des rennes telle que définie au paragraphe 2 de la loi finlandaise no 848/90 du 14 septembre 1990 relative à la gestion des rennes"	"NM2"	""					
"Chacal doré  ( Canis aureus )"	"Chordata"	"Mammalia"	"Carnivora"	"Canidae"	60579	"Canis aureus"	"Canis aureus Linnaeus, 1758"	"Chacal doré"			"NAb"	""	"CDH5"	""							
"Chien viverrin  ( Nyctereutes procyonoides )"	"Chordata"	"Mammalia"	"Carnivora"	"Canidae"	60582	"Nyctereutes procyonoides"	"Nyctereutes procyonoides (Gray, 1834)"	"Chien viverrin"	"NA"	"a"	"NAa"	""									
"Renard roux  ( Vulpes vulpes )"	"Chordata"	"Mammalia"	"Carnivora"	"Canidae"	60585	"Vulpes vulpes"	"Vulpes vulpes (Linnaeus, 1758)"	"Renard roux, Renard, Goupil"	"LC"	""	"LC"	""									
"*  Chat sauvage  ( Felis silvestris silvestris )"	"Chordata"	"Mammalia"	"Carnivora"	"Felidae"	60598	"Felis silvestris silvestris"	"Felis silvestris silvestris Schreber, 1775"	"Chat sauvage, Chat forestier"					"CDH4"	""	"NM2"	""					
